"idFluxoInpe";"idCampanha";"idSitio";"dataMedida";"ch4";"batimetria";"tempAr";"tempCupula";"tempAguaSubsuperficie";"tempAguaMeio";"tempAguaFundo";"phSubsuperficie";"phMeio";"phFundo";"orpSubsuperficie";"orpMeio";"orpFundo";"condutividadeSubsuperficie";"condutividadeMeio";"condutividadeFundo";"odSubsuperficie";"odMeio";"odFundo";"tsdSubsuperficie";"tsdMeio";"tsdFundo"
"1";"401";"4001";"2011-03-22";"1.5299999714";"3";"28";\N;"24.600000381469727";"24.100000381";"24.2000007629";"6.5999999046326";"6.3000001907";"6.3000001907";"95";"114";"127";"0.010999999940395355";"0.007000000216067";"0.0070000002160668";"7.0500001907349";"7.2600002289";"7.0700001717";"0.00700000021607";"0.0049999999";"0.0049999999"
"2";"401";"4001";"2011-03-22";"7.3499999046";"3";"28";\N;"24.600000381469727";"24.100000381";"24.2000007629";"6.5999999046326";"6.3000001907";"6.3000001907";"95";"114";"127";"0.010999999940395355";"0.007000000216067";"0.0070000002160668";"7.0500001907349";"7.2600002289";"7.0700001717";"0.00700000021607";"0.0049999999";"0.0049999999"
"3";"401";"4001";"2011-03-22";"3.6800000668";"3";"28";\N;"24.600000381469727";"24.100000381";"24.2000007629";"6.5999999046326";"6.3000001907";"6.3000001907";"95";"114";"127";"0.010999999940395355";"0.007000000216067";"0.0070000002160668";"7.0500001907349";"7.2600002289";"7.0700001717";"0.00700000021607";"0.0049999999";"0.0049999999"
"4";"401";"4002";"2011-03-22";"19.100000381";"3";"26";\N;"24";\N;\N;"5";\N;\N;"231";\N;\N;"0.007000000216066837";\N;\N;"7.1199998855591";\N;\N;"0.00499999988824";\N;\N
"5";"401";"4002";"2011-03-22";"6.4299998283";"3";"26";\N;"24";\N;\N;"5";\N;\N;"231";\N;\N;"0.007000000216066837";\N;\N;"7.1199998855591";\N;\N;"0.00499999988824";\N;\N
"6";"401";"4002";"2011-03-22";"23.899999619";"3";"26";\N;"24";\N;\N;"5";\N;\N;"231";\N;\N;"0.007000000216066837";\N;\N;"7.1199998855591";\N;\N;"0.00499999988824";\N;\N
"7";"401";"4003";"2011-03-22";"21.069999695";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"8";"401";"4003";"2011-03-22";"29.030000687";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"9";"401";"4003";"2011-03-22";"39.099998474";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"10";"401";"4003";"2011-03-22";"17.950000763";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"11";"401";"4003";"2011-03-22";"29.510000229";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"12";"401";"4003";"2011-03-22";"47.150001526";"6";"27";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"13";"401";"4004";"2011-03-22";"37.689998627";\N;"26";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
"14";"401";"4004";"2011-03-22";"39.009998322";\N;"26";\N;"23.700000762939453";"22.799999237";\N;"4";"4";\N;"318";"304";\N;"0.006000000052154064";"0.004999999888241";\N;"7.1500000953674";"7.2199997902";\N;"0.00400000018999";"0.003";\N
