"idReservatorio";"nome";"lat";"lng"
"1";"Jirau";"-9.334599";"-64.734846"
"2";"Funil";"-22.528715";"-44.568153"
"3";"Santo Antônio";"-8.809319";"-63.97724"
"4";"Batalha";"-17.335752";"-47.498885"
"5";"Três Marias";"-18.215149";"-45.258854"
"6";"Itaipu";"-25.407988";"-54.589594"
"7";"Segredo";"-25.790119";"-52.113486"
"8";"Serra da Mesa";"-13.841339";"-48.296317"
"9";"Tucuruí";"-3.831928";"-49.642916"
"10";"Manso";"-14.871063";"-55.784943"
"11";"Curuai";\N;\N
"12";"Itumbiara";"-18.407263";"-49.097982"
"13";"Corumbá";"-17.987684";"-48.533016"
"14";"Estreito";"-20.155828";"-47.281169"
"15";"Furnas";"-20.670372";"-46.317305"
"16";"Mascarenhas de Moraes";"-20.286321";"-47.064373"
"17";"Mamirauá";\N;\N
