"idSitio";"idReservatorio";"nome";"lat";"lng";"descricao"
"3001";"3";"JAT II";"-8.645444444";"-63.91825";\N
"3002";"3";"JAT II (Foz Madeira)";"-8.6455";"-63.91522222";\N
"3003";"3";"JUS 01";"-8.784722222";"-63.93566667";\N
"3004";"3";"MON 01";"-8.833166667";"-63.98725";\N
"3005";"3";"JAT I";"-8.830138889";"-64.04566667";\N
"3006";"3";"JAT I (Foz) ";"-8.830777778";"-64.04375";\N
"3007";"3";"MON 02";"-8.915222222";"-64.08911111";\N
"3008";"3";"JAC 01";"-9.209916667";"-64.38863889";\N
"3009";"3";"JAC 01 (Foz)";"-9.207166667";"-64.39480556";\N
"3010";"3";"MON 03";"-9.033388889";"-64.27838889";\N
"3011";"3";"MON 04";"-9.172611111";"-64.46925";\N
"3012";"3";"MON 05";"-9.217722222";"-64.61744444";\N
"4001";"4";"SMC30 (ponte)";"-17.03252778";"-47.16258333";\N
"4002";"4";"Ponto 2";"-17.03491667";"-47.162";\N
"4003";"4";"Foz Cristalina";"-16.10052778";"-47.26391667";\N
"4004";"4";"Após Foz";"-16.10052778";"-47.26391667";\N
"4005";"4";"Foz do Jmabeiro";"-17.34377778";"-47.44197222";\N
"4006";"4";"SMC 80 (Juzante do Jambeiro)";"-17.34602778";"-47.44055556";\N
"4007";"4";"Montante da Barragem";"-17.34883333";"-47.486";\N
"4008";"4";"SMC 20";"-16.90211111";"-47.18597222";\N
"4009";"4";"CTL 20";"-16.10091667";"-47.33175";\N
"4010";"4";"TEX 20";"-17.22280556";"-47.36505556";\N
"4011";"4";"FIR 20";"-17.24477778";"-47.40611111";\N
"4012";"4";"SMC 70";"-17.13064444";"-47.28041667";\N
"4013";"4";"JAB 20";"-17.34433333";"-47.4425";\N
"4014";"4";"SMC 90";"-17.34838889";"-47.48397222";\N
"4015";"4";"SMC 100";"-17.35694444";"-47.51794444";\N
"4016";"4";"JUS 01";"-17.34605556";"-47.49527778";\N
"5001";"5";"40 CAM";"-18.31125";"-45.23841667";\N
"5002";"5";"41 CAM";"-18.37002778";"-45.35211111";\N
"5003";"5";"39 CAM";"-18.39058333";"-45.30175";\N
"5004";"5";"34 CAM";"-18.45597222";"-45.37538889";\N
"5005";"5";"45 CAM P1";"-18.229";"-45.26630556";\N
"5006";"5";"47 CAM";"-18.234";"-45.32594444";\N
"5007";"5";"45 CAM P2";"-18.2195";"-45.29044444";\N
"5008";"5";"49 CAM";"-18.20430556";"-45.25808333";\N
"5009";"5";"Ponto Ponte";"-18.18963889";"-45.25213889";\N
"5010";"5";"37 CAM";"-18.51855556";"-45.44997222";\N
"5011";"5";"31 CAM";"-18.55041667";"-45.24125";\N
"5012";"5";"33 CAM";"-18.44955556";"-45.26325";\N
"5013";"5";"26 CAM";"-18.61158333";"-45.23975";\N
"5014";"5";"24 CAM ";"-18.70686111";"-45.26116667";\N
"5015";"5";"29 CAM";"-18.67433333";"-45.14816667";\N
"5016";"5";"22 CAM";"-18.89338889";"-45.15383333";\N
"5017";"5";"21 CAM";"-18.84905556";"-45.17058333";\N
"5018";"5";"13 CAM";"-18.80880556";"-45.16477778";\N
"5019";"5";"12 CAM";"-18.84994444";"-45.10430556";\N
"8001";"8";"MON 01";"-13.84716667";"-48.31427778";\N
"8002";"8";"ES 01";"-13.90194444";"-48.337";\N
"8003";"8";"TO 01";"-13.97416667";"-48.25241667";\N
"8004";"8";"BA 01";"-14.10502778";"-48.28891667";\N
"8005";"8";"MA 01";"-14.17325";"-48.66122222";\N
"8006";"8";"TR 01";"-14.178";"-48.52597222";\N
"8007";"8";"PA 01";"-14.06505556";"-48.50255556";\N
"8008";"8";"MA 02";"-13.993";"-48.41919444";\N
"8009";"8";"ML 01";"-14.26075";"-48.96444444";\N
"8010";"8";"MA 03";"-14.18647222";"-48.86694444";\N
"8011";"8";"OC 01";"-13.12947222";"-48.71877778";\N
"9001";"9";"MBB";"-3.789816667";"-49.5645";\N
"9002";"9";"M1";"-3.8557";"-49.62308333";\N
"9003";"9";"C2";"-3.95135";"-49.82571667";\N
"9004";"9";"C1";"-3.834066667";"-49.70825";\N
"9005";"9";"JT";"-3.73855";"-49.66108333";\N
"9006";"9";"M5";"-5.133388889";"-49.32058333";\N
"9007";"9";"MR";"-4.218611111";"-49.70255556";\N
"9008";"9";"MP";"-4.360166667";"-49.44016667";\N
"9009";"9";"MBL";"-4.235277778";"-49.47111111";\N
"9010";"9";"M3";"-4.406333333";"-49.52058333";\N
