"idAbioticoColuna";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"dic";"nt";"pt";"delta13c";"delta15n"
"1";"802";"8119";"2003-11-18";\N;"0";"12.959300041";"16.708000183";\N;\N;\N
"2";"802";"8119";"2003-11-18";\N;"5.1999998093";"12.152000427";\N;"0.255614996";\N;\N
"3";"802";"8119";"2003-11-18";\N;"10.5";"15.722000122";\N;"0.5691230297";\N;\N
"4";"802";"8119";"2003-11-18";\N;"35";"21.888799667";\N;\N;\N;\N
"5";"802";"8119";"2003-11-18";\N;"60";"12.788299561";\N;\N;\N;\N
"6";"806";"8119";"2004-03-18";\N;"0";"17.695400238";\N;\N;"-30.32999992";"11.300000191"
"7";"806";"8119";"2004-03-18";\N;"6";"13.280599594";\N;\N;\N;\N
"8";"806";"8119";"2004-03-18";\N;"12";"14.401900291";\N;\N;\N;\N
"9";"806";"8119";"2004-03-18";\N;"47";"13.72729969";\N;\N;\N;\N
"10";"806";"8119";"2004-03-18";\N;"107";"24.565700531";\N;\N;\N;\N
"11";"809";"8119";"2004-07-12";\N;"0";"11.107299805";"14.263899803";"0.3759979904";"-34.88999939";"7.8899998665"
"12";"809";"8119";"2004-07-12";\N;"4.5";"11.212400436";"19.970500946";"0.4032000005";\N;\N
"13";"809";"8119";"2004-07-12";\N;"9";"11.179100037";"21.164400101";"0.3535900116";\N;\N
"14";"809";"8119";"2004-07-12";\N;"42";"13.052100182";"62.949699402";"0.3935729861";\N;\N
"15";"809";"8119";"2004-07-12";\N;"93";"15.753700256";"50.575099945";"0.8023859859";\N;\N
"16";"1006";"10082";"2004-03-25";\N;"0";"3.7312800884";"4.3400001526";\N;"-31.67000008";"7.8499999046"
"17";"1006";"10082";"2004-03-25";\N;"7";"3.1428000927";"14.470700264";\N;\N;\N
"18";"1006";"10082";"2004-03-25";\N;"14";"10.787599564";\N;\N;\N;\N
"19";"1006";"10082";"2004-03-25";\N;"20";"5.6396398544";"14.015000343";\N;\N;\N
"20";"1006";"10082";"2004-03-25";\N;"53";"5.8490400314";"15.951399803";\N;\N;\N
"21";"1009";"10082";"2004-07-20";\N;"0";"5.0090999603";"44.106800079";"2.5720999241";"-34.33000183";"5.3699998856"
"22";"1009";"10082";"2004-07-20";\N;"5";"4.9512000084";"46.075401306";\N;\N;\N
"23";"1009";"10082";"2004-07-20";\N;"10";"4.8186001778";"16.291200638";"0.4093520045";\N;\N
"24";"1009";"10082";"2004-07-20";\N;"20";"5.178800106";"53.508998871";"0.4311389923";\N;\N
"25";"1009";"10082";"2004-07-20";\N;"40";"10.725899696";"104.5039978";"1.3437700272";\N;\N
"26";"1202";"12136";"2004-11-20";\N;"0";"3.2186000347";"101.02500153";"0.0425226018";\N;\N
"27";"1202";"12136";"2004-11-20";\N;"6";"3.2653999329";"87.623298645";"0.0529015996";\N;\N
"28";"1202";"12136";"2004-11-20";\N;"12";"3.2565999031";"99.742103577";"0.057870999";\N;\N
"29";"1202";"12136";"2004-11-20";\N;"40";"4.5244998932";"109.81400299";"0.0696339011";\N;\N
"30";"1202";"12136";"2004-11-20";\N;"60";"4.456099987";"125.21099854";"0.0702629015";\N;\N
"31";"1205";"12136";"2005-03-18";\N;"0";"3.4735000134";"9.8423299789";"0.0186132006";\N;\N
"32";"1205";"12136";"2005-03-18";\N;"5";"3.9188001156";"13.676300049";"0.0201113001";\N;\N
"33";"1205";"12136";"2005-03-18";\N;"10";"4.1479997635";"5.9517598152";"0.0229432993";\N;\N
"34";"1205";"12136";"2005-03-18";\N;"30";"4.6290001869";"28.430299759";"0.0228406005";\N;\N
"35";"1205";"12136";"2005-03-18";\N;"75";"6.1447000504";"28.197099686";"0.0246259999";\N;\N
"36";"1208";"12136";"2005-08-25";\N;"0";"2.8552000523";"13.51609993";"0.0145087996";\N;\N
"37";"1208";"12136";"2005-08-25";\N;"7";"2.8164000511";"17.935300827";"0.0177922994";\N;\N
"38";"1208";"12136";"2005-08-25";\N;"14";"2.8675000668";"14.222900391";"0.0262678005";\N;\N
"39";"1208";"12136";"2005-08-25";\N;"42";"3.1710999012";"19.967699051";"0.0283199009";\N;\N
"40";"1208";"12136";"2005-08-25";\N;"93";"3.4807999134";"18.822399139";"0.0246466007";\N;\N
"41";"1205";"12146";"2005-03-20";\N;"0";\N;"14.635299683";"0.0241129994";\N;\N
"42";"1205";"12146";"2005-03-20";\N;"6";\N;"32.879901886";"0.0227380004";\N;\N
"43";"1205";"12146";"2005-03-20";\N;"11";\N;"6";"0.0219582003";\N;\N
"44";"1205";"12146";"2005-03-20";\N;"20";\N;"21.825500488";"0.0228611995";\N;\N
"45";"1205";"12146";"2005-03-20";\N;"30";\N;"27.498600006";"0.0229842998";\N;\N
