"idAbioticoSuperficie";"idCampanha";"idSitio";"dataMedida";"horaMedida";"dic";"nt";"pt";"delta13c";"delta15n"
"1";"802";"8116";"2003-11-18";\N;"11.816900253";"81.410102844";\N;\N;\N
"2";"806";"8116";"2004-03-18";\N;"7.2140398026";"41.609100342";"0.2983660102";\N;\N
"3";"809";"8116";"2004-07-14";\N;"14.952699661";"51.84859848";"0.4461889863";\N;\N
"4";"802";"8117";"2003-11-18";\N;"12.424300194";\N;\N;\N;\N
"5";"806";"8117";"2004-03-18";\N;"6.7327198982";"29.714599609";"0.4145950079";\N;\N
"6";"809";"8117";"2004-07-14";\N;"11.225500107";"78.208999634";"0.4381439984";\N;\N
"7";"802";"8118";"2003-11-18";\N;"12.193900108";\N;\N;\N;\N
"8";"806";"8118";"2004-03-18";\N;"12.313400269";\N;\N;\N;\N
"9";"809";"8118";"2004-07-12";\N;"10.716899872";"27.133600235";"0.3835490048";\N;\N
"10";"802";"8119";"2003-11-18";\N;"12.959300041";"16.708000183";\N;\N;\N
"11";"806";"8119";"2004-03-18";\N;"17.695400238";\N;\N;"-30.32999992";"11.300000191"
"12";"809";"8119";"2004-07-12";\N;"11.107299805";"14.263899803";"0.3759979904";"-34.88999939";"7.8899998665"
"13";"802";"8120";"2003-11-18";\N;"16.759000778";\N;"0.4123690128";\N;\N
"14";"806";"8120";"2004-03-18";\N;\N;"22.673700333";\N;\N;\N
"15";"809";"8120";"2004-07-12";\N;"10.65719986";"29.122900009";"0.5284690261";\N;\N
"16";"802";"8121";"2003-11-18";\N;"10.143400192";"58.135700226";\N;\N;\N
"17";"809";"8121";"2004-07-14";\N;"13.317500114";"31.324100494";"0.3596929908";\N;\N
"18";"802";"8122";"2003-11-18";\N;"10.820400238";"12.711400032";"0.5121210217";\N;\N
"19";"806";"8122";"2004-03-18";\N;"11.348799706";"48.874500275";\N;\N;\N
"20";"809";"8122";"2004-07-12";\N;"10.166500092";"31.080299377";"0.4157159925";\N;\N
"21";"1002";"10079";"2003-11-25";\N;"6.8889598846";\N;"0.8541290164";\N;\N
"22";"1006";"10079";"2004-03-25";\N;"4.0072798729";\N;\N;\N;\N
"23";"1009";"10079";"2004-07-19";\N;"11.079999924";"32.065299988";"1.4099800587";\N;\N
"24";"1002";"10080";"2003-11-25";\N;"10.907500267";"3.3614299297";\N;\N;\N
"25";"1006";"10080";"2004-03-25";\N;"4.6556401253";"18.356100082";"0.3696179986";\N;\N
"26";"1009";"10080";"2004-07-19";\N;"7.9400000572";"47.650901794";"0.7620700002";\N;\N
"27";"1002";"10081";"2003-11-25";\N;"6.4127998352";"5.457859993";\N;\N;\N
"28";"1006";"10081";"2004-03-25";\N;"3.6188399792";"37.962299347";\N;\N;\N
"29";"1009";"10081";"2004-07-19";\N;"7.6399998665";"39.025901794";"0.6460859776";\N;\N
"30";"1002";"10082";"2003-11-25";\N;"4.7479200363";"8";\N;\N;\N
"31";"1006";"10082";"2004-03-25";\N;"3.7312800884";"4.3400001526";\N;"-31.67000008";"7.8499999046"
"32";"1009";"10082";"2004-07-20";\N;"5.0090999603";"44.106800079";"2.5720999241";"-34.33000183";"5.3699998856"
"33";"1002";"10083";"2003-11-25";\N;"18.759199142";\N;"0.8683789968";\N;\N
"34";"1006";"10083";"2004-03-25";\N;\N;"13.0625";"0.8541290164";\N;\N
"35";"1009";"10083";"2004-07-22";\N;"3.7000000477";"52.860500336";"0.4163320065";\N;\N
"36";"1002";"10084";"2003-11-25";\N;"5.3397598267";"8";\N;\N;\N
"37";"1006";"10084";"2004-03-25";\N;"3.6314399242";"38.323299408";\N;\N;\N
"38";"1009";"10084";"2004-07-19";\N;"5.4899997711";"56.089401245";"0.8913499713";\N;\N
"39";"1002";"10085";"2003-11-25";\N;"5.7967200279";"12";"2.008409977";\N;\N
"40";"1006";"10085";"2004-03-25";\N;"3.8382000923";"14.602100372";\N;\N;\N
"41";"1009";"10085";"2004-07-19";\N;"5.3499999046";"23.069599152";"0.5320259929";\N;\N
"42";"1002";"10086";"2003-11-25";\N;"7.0557599068";"8";"0.4266189933";\N;\N
"43";"1006";"10086";"2004-03-25";\N;"1.1715600491";"23.047000885";"0.2841159999";\N;\N
"44";"1009";"10086";"2004-07-22";\N;"2.1426999569";"22.942800522";"0.4647380114";\N;\N
"45";"1002";"10087";"2003-11-25";\N;"4.9271998405";"2";\N;\N;\N
"46";"1006";"10087";"2004-03-25";\N;"2.1880800724";"4.2904200554";\N;\N;\N
"47";"1009";"10087";"2004-07-22";\N;"3.9035999775";"45.92539978";"0.3723259866";\N;\N
"48";"1002";"10088";"2003-11-25";\N;"3.861000061";"12";\N;\N;\N
"49";"1006";"10088";"2004-03-25";\N;"2.0806798935";"30.161399841";\N;\N;\N
"50";"1009";"10088";"2004-07-20";\N;"2.0715999603";"12.908800125";"0.3937779963";\N;\N
"51";"1002";"10089";"2003-11-25";\N;"2.2807199955";"2";\N;\N;\N
"52";"1006";"10089";"2004-03-25";\N;"1.9862400293";"14.569299698";\N;\N;\N
"53";"1009";"10089";"2004-07-20";\N;"2.0926001072";"22.36400032";"1.9428700209";\N;\N
"54";"1002";"10090";"2003-11-25";\N;"4.524960041";\N;\N;\N;\N
"55";"1006";"10090";"2004-03-25";\N;"2.3473200798";"5.3888998032";\N;\N;\N
"56";"1009";"10090";"2004-07-20";\N;"3.7894001007";"33.974201202";"0.4709829986";\N;\N
"57";"1002";"10091";"2003-11-25";\N;"5.4031200409";"8";\N;\N;\N
"58";"1006";"10091";"2004-03-25";\N;"2.0949599743";"14.339599609";\N;\N;\N
"59";"1009";"10091";"2004-07-22";\N;"3.8719000816";"57.352600098";"0.4955089986";\N;\N
"60";"1202";"12135";"2004-11-21";\N;"4.222099781";\N;"0.0534048006";\N;\N
"61";"1205";"12135";"2005-03-19";\N;"4.2876000404";"28.45070076";"0.0190031007";\N;\N
"62";"1208";"12135";"2005-08-28";\N;"3.1909000874";"25.546300888";"0.0195982009";"-24.86000061";"6.75"
"63";"1202";"12136";"2004-11-20";\N;"3.2186000347";"101.02500153";"0.0425226018";\N;\N
"64";"1205";"12136";"2005-03-18";\N;"3.4735000134";"9.8423299789";"0.0186132006";\N;\N
"65";"1208";"12136";"2005-08-25";\N;"2.8552000523";"13.51609993";"0.0145087996";\N;\N
"66";"1202";"12137";"2004-11-20";\N;"3.1675000191";"19.480800629";"0.0641613007";\N;\N
"67";"1205";"12137";"2005-03-18";\N;"3.3664999008";"18.094100952";"0.0179769993";\N;\N
"68";"1208";"12137";"2005-08-25";\N;"2.9690999985";"21.696300507";"0.0167661998";"-27.79000092";"5.3600001335"
"69";"1202";"12138";"2004-11-20";\N;"3.9986999035";"59.407699585";"0.0534048006";\N;\N
"70";"1205";"12138";"2005-03-20";\N;"3.4688000679";"21.928100586";"0.0260214992";\N;\N
"71";"1208";"12138";"2005-08-27";\N;"5.0819997787";"30.726499557";"0.0166430995";"-25.04000092";"6.6999998093"
"72";"1202";"12139";"2004-11-20";\N;"3.0495998859";"27.970500946";"0.0427112989";\N;\N
"73";"1205";"12139";"2005-03-19";\N;\N;"11.015099525";"0.0254468992";\N;\N
"74";"1208";"12139";"2005-08-27";\N;"2.8778998852";\N;"0.0176896993";"-27.31999969";"6.7100000381"
"75";"1202";"12140";"2004-11-20";\N;"4.4380998611";"46.493999481";"0.0667402968";\N;\N
"76";"1205";"12140";"2005-03-19";\N;\N;"10.622799873";"0.0243797991";\N;\N
"77";"1208";"12140";"2005-08-27";\N;"2.4886000156";"11.429200172";"0.0314598009";"-26.18000031";"8.6499996185"
"78";"1202";"12141";"2004-11-20";\N;"3.7908000946";"257.74798584";"0.0759871006";\N;\N
"79";"1205";"12141";"2005-03-19";\N;"4.0051999092";"19.330799103";"0.0254059006";\N;\N
"80";"1208";"12141";"2005-08-27";\N;\N;\N;"0.0301258005";"-28.37999916";"7.9099998474"
"81";"1202";"12142";"2004-11-20";\N;"4.7220001221";"116.04199982";"0.0510773994";\N;\N
"82";"1205";"12142";"2005-03-19";\N;\N;"18.607700348";"0.0219992995";\N;\N
"83";"1208";"12142";"2005-08-26";\N;"3.328099966";"13.100199699";"0.022225";"-27.70000076";"11.970000267"
"84";"1202";"12143";"2004-11-20";\N;"4.1838998795";"63.775901794";"0.057870999";\N;\N
"85";"1205";"12143";"2005-03-19";\N;"4.3207998276";"21.314100266";"0.0241129994";\N;\N
"86";"1208";"12143";"2005-08-26";\N;"3.3870999813";"11.128299713";"0.0151655003";"-28.51499939";"10"
"87";"1205";"12146";"2005-03-20";\N;\N;"14.635299683";"0.0241129994";\N;\N
"88";"1208";"12146";"2005-08-25";\N;\N;"21.566400528";"0.0175254997";"-27.77000046";"5.8400001526"
"89";"1205";"12148";"2005-03-19";\N;\N;"8.8958702087";"0.0238461997";\N;\N
"90";"1208";"12148";"2005-08-26";\N;"3.320499897";"14.074199677";"0.0234357994";"-29.44000053";"10.989999771"
"91";"1306";"13060";"2005-03-15";\N;"3.3355000019";"20.053600311";"0.7883719802";\N;\N
"92";"1310";"13060";"2005-08-24";\N;"3.2871000767";"21.035200119";"0.4820500016";"-30.04000092";"14.130000114"
"93";"1302";"13099";"2004-11-16";\N;"3.4249999523";"70.894203186";"1.2709499598";\N;\N
"94";"1306";"13099";"2005-03-15";\N;"3.5608999729";"24.458799362";"0.7114120126";\N;\N
"95";"1310";"13099";"2005-08-23";\N;"4.2856001854";"28.645299911";"0.767219007";"-24.625";"9.2049999237"
"96";"1302";"13100";"2004-11-16";\N;"3.3131000996";"54.457500458";"1.1386100054";\N;\N
"97";"1306";"13100";"2005-03-17";\N;"3.2246000767";"23.520900726";"0.7847800255";\N;\N
"98";"1310";"13100";"2005-08-23";\N;"3.9353001118";"34.905101776";"0.5116500258";"-29.85000038";"6.4299998283"
"99";"1302";"13101";"2004-11-17";\N;"3.260299921";\N;"1.228489995";\N;\N
"100";"1306";"13101";"2005-03-15";\N;"3.4579999447";"23.44949913";"0.7733659744";\N;\N
"101";"1310";"13101";"2005-08-22";\N;"0";"25.167800903";"0.4386619925";"-28.86000061";"6.3099999428"
"102";"1302";"13102";"2004-11-17";\N;"3.2881000042";"54.947200775";"1.0120999813";\N;\N
"103";"1306";"13102";"2005-03-15";\N;"3.5095999241";"20.651899338";"0.534390986";\N;\N
"104";"1310";"13102";"2005-08-22";\N;"3.491699934";"23.197900772";"0.3544769883";"-29.19000053";"12.050000191"
"105";"1302";"13103";"2004-11-18";\N;"3.538599968";"187.42199707";"0.9855030179";\N;\N
"106";"1306";"13103";"2005-03-15";\N;"4.219399929";"30.023199081";"0.4829809964";\N;\N
"107";"1310";"13103";"2005-08-22";\N;"3.9964001179";"20.782100677";"0.5052440166";\N;\N
"108";"1302";"13104";"2004-11-17";\N;"3.9426999092";"63.407699585";"0.9443749785";\N;\N
"109";"1306";"13104";"2005-03-17";\N;"3.7946999073";"24.072099686";"0.8834819794";\N;\N
"110";"1310";"13104";"2005-08-24";\N;"3.8994998932";"28.872299194";"0.8049880266";"-27.40999985";"7.8600001335"
"111";"1302";"13105";"2004-11-18";\N;"17.407300949";\N;\N;\N;\N
"112";"1306";"13105";"2005-03-14";\N;"2.8169999123";"14.251999855";"0.7612450123";\N;\N
"113";"1302";"13106";"2004-11-18";\N;"2.7681999207";\N;\N;\N;\N
"114";"1306";"13106";"2005-03-14";\N;"3.0041000843";"19.438899994";"0.9243869781";\N;\N
"115";"1302";"13107";"2004-11-17";\N;"2.5418000221";"80.840301514";"1.8020800352";\N;\N
"116";"1306";"13107";"2005-03-14";\N;"3.6923000813";"21.830400467";"0.5449709892";\N;\N
"117";"1310";"13107";"2005-08-23";\N;"3.4196999073";"27.201099396";"0.6001650095";"-29";"7.4000000954"
"118";"1302";"13108";"2004-11-16";\N;"3.3173000813";"96.096603394";"0.863173008";\N;\N
"119";"1306";"13108";"2005-03-14";\N;"4.040599823";"31.497699738";"0.6908010244";\N;\N
"120";"1310";"13108";"2005-08-23";\N;"3.5067000389";"17.073600769";"0.5404040217";"-31.17000008";"10.529999733"
"121";"1302";"13109";"2004-11-18";\N;"2.502300024";\N;\N;\N;\N
"122";"1306";"13109";"2005-03-15";\N;"3.7190001011";"28.648799896";"1.0880800486";\N;\N
"123";"1302";"13110";"2004-11-18";\N;\N;"58.894199371";"0.7369719744";\N;\N
"124";"1306";"13110";"2005-03-15";\N;"3.3756999969";"18.245000839";"0.7498450279";\N;\N
"125";"1310";"13110";"2005-08-22";\N;"3.711400032";\N;"0.4105609953";"-30.26000023";"5.0999999046"
"126";"1306";"13115";"2005-03-15";\N;"3.3343999386";"28.431400299";"1.1351900101";\N;\N
"127";"1310";"13115";"2005-08-23";\N;"4.681499958";"28.996900558";"1.3843200207";"-24.87999916";"9.6099996567"
"128";"1306";"13116";"2005-03-15";\N;"3.282599926";"28.139600754";"0.7740790248";\N;\N
"129";"1310";"13116";"2005-08-23";\N;"4.3235998154";"32.680801392";"0.7006940246";"-27.72999954";"4.7100000381"
"130";"1402";"14076";"2005-11-18";"18:30:00";"3.4391999245";"28.040700912";"0.8344550133";\N;\N
"131";"1405";"14076";"2006-04-10";"08:32:00";"3.5092999935";"23.451400757";"0.5916450024";\N;\N
"132";"1408";"14076";"2006-08-09";"12:02:00";"2.9430000782";"21.159000397";"2.6404399872";\N;\N
"133";"1402";"14077";"2005-11-18";"15:30:00";"3.7815999985";"19.113100052";"3.1178998947";\N;\N
"134";"1405";"14077";"2006-04-10";"08:55:00";"3.565500021";"36.438598633";"0.6771110296";\N;\N
"135";"1408";"14077";"2006-08-09";"12:32:00";"2.9874000549";"44.703800201";"0.830419004";\N;\N
"136";"1402";"14078";"2005-11-18";"17:45:00";"3.0374000072";"35.944599152";"1.0318100452";\N;\N
"137";"1405";"14078";"2006-04-10";"09:10:00";"3.2667000294";"11.286399841";"0.3274439871";\N;\N
"138";"1408";"14078";"2006-08-09";"13:28:00";"1.6887999773";"58.447898865";"1.5403599739";\N;\N
"139";"1402";"14079";"2005-11-18";"17:30:00";"3.1038000584";"42.027698517";"1.6613500118";\N;\N
"140";"1405";"14079";"2006-04-10";"09:27:00";"3.3770999908";"34.251399994";"0.9620519876";\N;\N
"141";"1408";"14079";"2006-08-09";"14:00:00";"2.9881999493";"44.185798645";"2.1366300583";\N;\N
"142";"1402";"14080";"2005-11-18";"19:25:00";"2.9453999996";"51.246101379";"1.4276100397";\N;\N
"143";"1405";"14080";"2006-04-08";"17:36:00";"2.3556001186";"25.17429924";"1.5232700109";\N;\N
"144";"1408";"14080";"2006-08-09";"12:20:00";"2.0397000313";"39.923900604";"1.7062200308";\N;\N
"145";"1402";"14081";"2005-11-18";"18:20:00";"5.1187000275";"62.840801239";"3.0209701061";\N;\N
"146";"1405";"14081";"2006-04-08";"19:00:00";"7.953499794";"52.442901611";"1.1520299911";\N;\N
"147";"1408";"14081";"2006-08-09";"13:20:00";"7.2527999878";"61.370601654";"2.8828499317";\N;\N
"148";"1402";"14082";"2005-11-18";"16:20:00";"3.3571999073";"40.350799561";"0.9625989795";\N;\N
"149";"1405";"14082";"2006-04-08";"15:30:00";"3.1558001041";"27.229999542";"0.9845280051";\N;\N
"150";"1408";"14082";"2006-08-10";"13:30:00";"3.1707999706";"18.227500916";"0.7174990177";\N;\N
"151";"1402";"14083";"2005-11-18";"16:00:00";"3.6270000935";"40.421798706";"1.045230031";\N;\N
"152";"1405";"14083";"2006-04-10";"11:50:00";"3.2839000225";"24.75";"0.4751510024";\N;\N
"153";"1408";"14083";"2006-08-10";"14:20:00";"3.0813000202";"34.121101379";"1.9929300547";\N;\N
"154";"1402";"14084";"2005-11-18";"11:00:00";"3.3278000355";"30.716299057";"1.196449995";\N;\N
"155";"1405";"14084";"2006-04-08";"12:00:00";"3.6108000278";"35.147098541";"0.4808540046";\N;\N
"156";"1408";"14084";"2006-08-09";"16:40:00";"3.4653000832";"41.367698669";"2.7180199623";\N;\N
"157";"1502";"15161";"2005-11-22";"12:00:00";"4.127699852";"55.489200592";"2.2541699409";\N;\N
"158";"1505";"15161";"2006-04-04";"14:20:00";"4.4140000343";"69.372901917";"2.5776400566";\N;\N
