"idAguaMateriaOrganicaSedimento";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"batimetria";"agua";"materiaOrganica"
"1";"202";"2053";"2006-11-20";"10:00:00";"0.5";"0.5";"39.450000763";"4.738450050354"
"2";"202";"2053";"2006-11-20";"10:00:00";"1.5";"0.5";"36.578998566";"3.9475700855255"
"3";"202";"2053";"2006-11-20";"10:00:00";"2.5";"0.5";"28.353099823";"4.206160068512"
"4";"202";"2053";"2006-11-20";"10:00:00";"3.5";"0.5";"27.062999725";"3.9339799880981"
"5";"204";"2053";"2007-03-26";"13:46:00";"0.5";"0.5";"31.664800644";"1.8844399452209"
"6";"204";"2053";"2007-03-26";"13:46:00";"1.5";"0.5";"30.052999496";"1.7048000097275"
"7";"204";"2053";"2007-03-26";"13:46:00";"2.5";"0.5";"28.418899536";"2.6361899375916"
"8";"204";"2053";"2007-03-26";"13:46:00";"3.5";"0.5";"31.490600586";"4.2821497917175"
"9";"206";"2053";"2007-07-23";"14:44:00";"0.5";"0.5";"44.458198547";"1.4848200082779"
"10";"206";"2053";"2007-07-23";"14:44:00";"1.5";"0.5";"35.174198151";"1.5035899877548"
"11";"206";"2053";"2007-07-23";"14:44:00";"2.5";"0.5";"37.100399017";"2.3280899524689"
"12";"206";"2053";"2007-07-23";"14:44:00";"3.5";"0.5";"35.134300232";"2.5370800495148"
"13";"202";"2054";"2006-11-22";"09:04:00";"0.5";"39.599998474";"69.984199524";"14.135000228882"
"14";"202";"2054";"2006-11-22";"09:04:00";"1.5";"39.599998474";"64.459602356";"14.295399665833"
"15";"202";"2054";"2006-11-22";"09:04:00";"2.5";"39.599998474";"62.095298767";"15.081399917603"
"16";"202";"2054";"2006-11-22";"09:04:00";"3.5";"39.599998474";"60.976398468";"15.695099830627"
"17";"204";"2054";"2007-03-28";"08:26:00";"0.5";"47";"85.145401001";"17.235300064087"
"18";"204";"2054";"2007-03-28";"08:26:00";"1.5";"47";"83.030502319";"17.419599533081"
"19";"204";"2054";"2007-03-28";"08:26:00";"2.5";"47";"81.064697266";"17.065099716187"
"20";"204";"2054";"2007-03-28";"08:26:00";"3.5";"47";"77.928199768";"16.661800384521"
"21";"206";"2054";"2007-07-25";"10:00:00";"0.5";"42";"87.59400177";"17.721500396729"
"22";"206";"2054";"2007-07-25";"10:00:00";"1.5";"42";"79.596199036";"17.136299133301"
"23";"206";"2054";"2007-07-25";"10:00:00";"2.5";"42";"79.700897217";"17.543100357056"
"24";"206";"2054";"2007-07-25";"10:00:00";"3.5";"42";"79.388298035";"17.802700042725"
"25";"202";"2055";"2006-11-20";"15:40:00";"0.5";"11";"65.557098389";"7.68101978302"
"26";"202";"2055";"2006-11-20";"15:40:00";"1.5";"11";"49.417598724";"5.8664498329163"
"27";"202";"2055";"2006-11-20";"15:40:00";"2.5";"11";"32.271400452";"5.2803897857666"
"28";"202";"2055";"2006-11-20";"15:40:00";"3.5";"11";"27.359500885";"5.7463002204895"
"29";"204";"2055";"2007-03-29";"08:30:00";"0.5";"34";"82.325698853";"14.194800376892"
"30";"204";"2055";"2007-03-29";"08:30:00";"1.5";"34";"72.291297913";"14.244999885559"
"31";"204";"2055";"2007-03-29";"08:30:00";"2.5";"34";"68.988197327";"11.753299713135"
"32";"204";"2055";"2007-03-29";"08:30:00";"3.5";"34";"71.105400085";"12.819299697876"
"33";"206";"2055";"2007-07-24";"11:15:00";"0.5";"26.5";"32.768100739";"5.7211098670959"
"34";"206";"2055";"2007-07-24";"11:15:00";"1.5";"26.5";"28.395999908";"6.2775001525879"
"35";"206";"2055";"2007-07-24";"11:15:00";"2.5";"26.5";"28.256500244";"6.5353798866272"
"36";"206";"2055";"2007-07-24";"11:15:00";"3.5";"26.5";"25.229099274";"6.7283000946045"
"37";"202";"2056";"2006-11-20";"16:05:00";"0.5";"26.5";"56.432498932";"7.2739601135254"
"38";"202";"2056";"2006-11-20";"16:05:00";"1.5";"26.5";"34.451301575";"7.0991101264954"
"39";"202";"2056";"2006-11-20";"16:05:00";"2.5";"26.5";"29.210399628";"6.8489799499512"
"40";"202";"2056";"2006-11-20";"16:05:00";"3.5";"26.5";"33.156700134";"7.3815097808838"
"41";"204";"2056";"2007-03-28";"08:50:00";"0.5";"56";"89.817100525";"17.113700866699"
"42";"204";"2056";"2007-03-28";"08:50:00";"1.5";"56";"87.029602051";"17.336500167847"
"43";"204";"2056";"2007-03-28";"08:50:00";"2.5";"56";"84.909797668";"17.506900787354"
"44";"204";"2056";"2007-03-28";"08:50:00";"3.5";"56";"83.097602844";"17.173700332642"
"45";"206";"2056";"2007-07-24";"10:50:00";"0.5";"46.5";"89.560897827";"18.912900924683"
"46";"206";"2056";"2007-07-24";"10:50:00";"1.5";"46.5";"87.380897522";"18.739599227905"
"47";"206";"2056";"2007-07-24";"10:50:00";"2.5";"46.5";"86.698699951";"19.044200897217"
"48";"206";"2056";"2007-07-24";"10:50:00";"3.5";"46.5";"85.250999451";"18.311700820923"
"49";"202";"2057";"2006-11-20";"16:27:00";"0.5";"36";"89.172996521";"17.970199584961"
"50";"202";"2057";"2006-11-20";"16:27:00";"1.5";"36";"84.664901733";"17.885400772095"
"51";"202";"2057";"2006-11-20";"16:27:00";"2.5";"36";"91.813201904";"17.422399520874"
"52";"202";"2057";"2006-11-20";"16:27:00";"3.5";"36";"80.888397217";"17.101600646973"
"53";"204";"2057";"2007-03-28";"09:07:00";"0.5";"46";"91.371398926";"18.726299285889"
"54";"204";"2057";"2007-03-28";"09:07:00";"1.5";"46";"87.831497192";"16.974300384521"
