"idBioticoColuna";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"doc";"toc";"poc";"densidadeBacteria";"biomassaBacteria";"clorofilaA";"biomassaCarbonoTotalFito";"densidadeTotalFito";"biomassaZoo";"densidadeTotalZoo"
"1";"802";"8119";"2003-11-18";\N;"0";\N;\N;\N;"3.950700044631958";"79.0139999389648";\N;"250.20199584960938";"4263";"4.9509000778";"22.18400001525879"
"2";"802";"8119";"2003-11-18";\N;"5.1999998093";\N;\N;\N;"4.664400100708008";"81.3539962768555";\N;"318.0580139160156";\N;\N;\N
"3";"802";"8119";"2003-11-18";\N;"10.5";\N;\N;\N;"4.067699909210205";"112.085998535156";\N;"28.81049919128418";\N;\N;\N
"4";"802";"8119";"2003-11-18";\N;"15";\N;\N;\N;"5.604300022125244";"112.085998535156";\N;\N;\N;\N;\N
"5";"802";"8119";"2003-11-18";\N;"60";\N;\N;\N;"5.967000007629395";"119.339996337891";\N;\N;"180";\N;\N
"6";"806";"8119";"2004-03-18";\N;"0";"1.3791999817";\N;\N;"2.757299900054932";"55.1459999084473";"5.3833298683";"180.0290069580078";"9118";"16.927499771";"77.49500274658203"
"7";"806";"8119";"2004-03-18";\N;"6";"1.1460000277";\N;\N;"1.717949986457825";"34.359001159668";"5.3249998093";"202.02499389648438";"6925";\N;\N
"8";"806";"8119";"2004-03-18";\N;"12";"1.0183999538";\N;\N;"3.751800060272217";"75.036003112793";"5.5";"16.548500061035156";"139";\N;\N
"9";"806";"8119";"2004-03-18";\N;"47";"1.0640000105";\N;\N;"2.423850059509277";"48.4770011901855";"1.9750000238";"0.40022000670433044";"56";\N;\N
"10";"806";"8119";"2004-03-18";\N;"107";"0.9004999995";\N;\N;"3.315000057220459";"66.3000030517578";"1.5583300591";"1.6189700365066528";"27";\N;\N
"11";"809";"8119";"2004-07-12";\N;"0";"3.3218998909";"4.23416996";"0.9122670293";"2.416049957275391";"48.3209991455078";"9.4416704178";"339.6910095214844";"10965";"11.509300232";"34.35900115966797"
"12";"809";"8119";"2004-07-12";\N;"4.5";"3.3506000042";"4.369289875";"1.01868999";"2.681250095367432";"53.625";"11.225000381";"344.0679931640625";\N;\N;\N
"13";"809";"8119";"2004-07-12";\N;"9";"3.1317999363";"3.1457099915";"0.0139082996";"2.443350076675415";"48.867000579834";"6.6750001907";"198.6739959716797";\N;\N;\N
"14";"809";"8119";"2004-07-12";\N;"42";"2.6045999527";"4.6811299324";"2.0765199661";"2.921099901199341";"58.4220008850098";"0.875";"1.3961800336837769";\N;\N;\N
"15";"809";"8119";"2004-07-12";\N;"93";"2.2160000801";"6.0213799477";"3.805380106";"3.549000024795532";"70.9800033569336";"3.7062499523";"1.465190052986145";\N;\N;\N
"16";"1006";"10082";"2004-03-25";\N;"0";"1.6353000402";\N;\N;"3.722549915313721";"74.4509963989258";"2.6749999523";"66.56120300292969";"3730.320068359375";"139.57600403";"55.00799942016602"
"17";"1006";"10082";"2004-03-25";\N;"7";"2.3241999149";\N;\N;"3.820050001144409";"76.4010009765625";"5.0999999046";"354.7919921875";"4125.9599609375";\N;\N
"18";"1006";"10082";"2004-03-25";\N;"14";"2.7902998924";\N;\N;"2.400449991226196";"48.0089988708496";"2.3583300114";"3.8857998847961426";"579.3300170898438";\N;\N
"19";"1006";"10082";"2004-03-25";\N;"20";"2.1582000256";\N;\N;"2.540849924087524";"50.8170013427734";"1.3083300591";"1.5210100412368774";"183.42999267578125";\N;\N
"20";"1006";"10082";"2004-03-25";\N;"53";"2.1429998875";\N;\N;"2.80019998550415";"56.0040016174316";"1.0666699409";"0.2808780074119568";"127.16999816894531";\N;\N
"21";"1009";"10082";"2004-07-20";\N;"0";"2.1080000401";"5.8286299706";"3.7206199169";"3.788850069046021";"75.7770004272461";"8.125";"8.071020126342773";"320.2799987792969";"73.489196777";"34.91799926757812"
"22";"1009";"10082";"2004-07-20";\N;"5";"2.2702999115";"2.4582800865";"0.1879750043";"3.632849931716919";"72.6569976806641";"6.9083299637";"176.3249969482422";"4790.06982421875";\N;\N
"23";"1009";"10082";"2004-07-20";\N;"10";"2.0827000141";"2.1174199581";"0.0347249992";"3.901949882507324";"78.0390014648438";"6.3409099579";"189.07899475097656";"4295.52001953125";\N;\N
"24";"1009";"10082";"2004-07-20";\N;"20";"2.031899929";"3.3194999695";"1.2876000404";"4.364099979400635";"87.2819976806641";"6.4000000954";"121.66400146484375";"2613.919921875";\N;\N
"25";"1009";"10082";"2004-07-20";\N;"40";"3.6372001171";"3.7536199093";"0.1164250001";"3.946799993515015";"78.9359970092773";"1.6833300591";"189.67100524902344";"2585.7900390625";\N;\N
"26";"1202";"12136";"2004-11-20";\N;"0";"0.7949000001";"0.8152999878";"0.0204000007";"3.019999980926514";"51.6566009521484";"2825";"40.42300033569336";"14.04699993133545";"40.423000336";"14.04699993133545"
