"idBolhas";"idCampanha";"idSitio";"profundidade";"nroDeFunis";"volumeColetado";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida";"horaMedida"
"1";"201";"2010";"5";"6";"659";"2.6199998856";"60.259998322";"146.27000427";"73.949996948";"0.5799999833";"2006-11-21";"11:00:00"
"2";"201";"2010";"10";"6";"495";"1.1599999666";"49.680000305";"102.18000031";"57.729999542";"0.3899999857";"2006-11-21";"10:55:00"
"3";"201";"2010";"20";"4";"750";"0.5299999714";"77.970001221";"183.61000061";"172.22000122";"0.7099999785";"2006-11-21";"10:50:00"
"4";"203";"2010";"5";"6";"420";"0.1400000006";"47.180000305";"147.97999573";"0.0540000014";"0.4269999862";"2007-03-27";"12:50:00"
"5";"203";"2010";"10";"6";"0";"0";"0";"0";"0";"0";"2007-03-27";"12:40:00"
"6";"203";"2010";"20";"4";"16";\N;"2.3499999046";"6.6500000954";"1.1699999571";"0.0359999985";"2007-03-27";"12:35:00"
"7";"201";"2011";"5";"6";"67";"0.2599999905";"45.349998474";"134.86000061";"89.199996948";"0.7799999714";"2006-11-22";"11:24:00"
"8";"201";"2011";"10";"6";"35";"0.0080000004";"3.6600000858";"10.149999619";"2.4800000191";"0.0500000007";"2006-11-22";"11:30:00"
"9";"201";"2011";"20";"4";"26";"0.0299999993";"4.5199999809";"13.760000229";"1.7100000381";"0.0700000003";"2006-11-22";"10:54:00"
"10";"203";"2011";"5";"6";"7";\N;"0.8299999833";"2.6199998856";"0.0920000002";\N;"2007-03-28";"11:35:00"
"11";"203";"2011";"12";"6";"39.40000152588";"0.1899999976";"30.420000076";"101.13999939";"43.869998932";"0.3179999888";"2007-03-28";"11:30:00"
"12";"203";"2011";"20";"4";"130";"0.0799999982";"13.670000076";"42.540000916";"27.229999542";"0.2039999962";"2007-03-28";"11:25:00"
"13";"201";"2012";"5";"6";"17";"0.0089999996";"1.9099999666";"5.8099999428";"1.2899999619";\N;"2006-11-23";"08:30:00"
"14";"201";"2012";"10";"6";"16";"0.0099999998";"2.1600000858";"5.4699997902";"1.0800000429";\N;"2006-11-23";"08:34:00"
"15";"201";"2012";"20";"4";"26";"0.0299999993";"6.0100002289";"12.890000343";"2.4500000477";"0.0549999997";"2006-11-23";"08:39:00"
"16";"203";"2012";"5";"6";"5";"0.0020000001";"0.4499999881";"2.3599998951";"0.0260000005";\N;"2007-03-29";"08:45:00"
"17";"203";"2012";"10";"6";"0";"0";"0";"0";"0";"0";"2007-03-29";"08:53:00"
"18";"203";"2012";"20";"4";"115";"0.0799999982";"13.25";"36.130001068";"27.659999847";"0.0769999996";"2007-03-29";"09:03:00"
"19";"205";"2012";"5";"6";"0";"0";"0";"0";"0";"0";"2007-07-26";"09:30:00"
"20";"205";"2012";"10";"5";"0";"0";"0";"0";"0";"0";"2007-07-26";"09:35:00"
"21";"205";"2012";"20";"5";"0";"0";"0";"0";"0";"0";"2007-07-26";"09:40:00"
"22";"205";"2046";"5";"6";"38";"0.7419999838";"5.2699999809";"13.329999924";"0.1400000006";"0.0390000008";"2007-07-24";"10:43:00"
"23";"205";"2046";"10";"3";"20";"0.5320000052";"5.8000001907";"14.239999771";"0.023";"0.0410000011";"2007-07-24";"10:35:00"
"24";"205";"2046";"23";"5";"33";"0.8999999762";"4.8400001526";"12.409999847";"1.2999999523";"0.050999999";"2007-07-24";"10:28:00"
"25";"205";"2047";"5.5";"6";"0";"0";"0";"0";"0";"0";"2007-07-25";"12:15:00"
"26";"205";"2047";"10";"5";"0";"0";"0";"0";"0";"0";"2007-07-25";"12:20:00"
"27";"205";"2047";"20";"5";"6";"0.0049999999";"0.8069999814";"2.0499999523";"0.3600000143";\N;"2007-07-25";"12:25:00"
"28";"801";"8012";"3";"3";"230";"0.7599999905";"20.459999084";"124.80999756";"51.869998932";\N;\N;\N
"29";"801";"8012";"6";"3";"220";"0.4499999881";"19.170000076";"64.669998169";"75.050003052";\N;\N;\N
"30";"801";"8012";"9";"2";"360";"1.2799999714";"36.130001068";"171.6000061";"187.75999451";\N;\N;\N
"31";"805";"8012";"4";"3";"40";"0.400000006";"3.1600000858";"27.299999237";"6.9899997711";\N;\N;\N
"32";"805";"8012";"11";"3";"22";"0.0399999991";"4.4200000763";"15.829999924";"1.8799999952";\N;\N;\N
"33";"805";"8012";"21";"3";"5";"0.0099999998";"1.3700000048";"4.2199997902";"0.0299999993";\N;\N;\N
"34";"801";"8013";"4";"3";"50";"0.1400000006";"7.5599999428";"39.770000458";"2.6300001144";\N;\N;\N
"35";"801";"8013";"7";"3";"200";"0.200000003";"22.86000061";"90.63999939";"53.580001831";\N;\N;\N
"36";"801";"8013";"12";"2";"190";"0.4600000083";"26.059999466";"110.79000092";"90.599998474";\N;\N;\N
"37";"805";"8013";"5";"3";"25";"0.5299999714";"3.1300001144";"21.569999695";"0.6399999857";\N;\N;\N
"38";"805";"8013";"10";"3";"16";"0.0299999993";"3.6199998856";"13.300000191";"0.3199999928";\N;\N;\N
"39";"805";"8013";"20";"2";"5";"0.0040000002";"1.7300000191";"6.0199999809";"0.1800000072";\N;\N;\N
"40";"801";"8014";"3";"3";"120";"1.0499999523";"9.0100002289";"50.310001373";"64.169998169";\N;\N;\N
"41";"801";"8014";"6";"3";"240";"1.2200000286";"20.260000229";"67.260002136";"145.86000061";\N;\N;\N
"42";"801";"8014";"10";"2";"150";"0.6000000238";"24.430000305";"84.480003357";"124.5";\N;\N;\N
"43";"805";"8014";"10";"3";"274";"0.400000006";"69.599998474";"273.5";"2.1199998856";"0.1800000072";\N;\N
"44";"805";"8014";"20";"3";"51";"0.1299999952";"7.4200000763";"25.700000763";"12.600000381";\N;\N;\N
"45";"801";"8015";"3";"3";"170";"1.4199999571";"11.840000153";"150.05999756";"43.209999084";\N;\N;\N
"46";"801";"8015";"6";"3";"280";"1.7799999714";"27.079999924";"160.57000732";"120.40000153";\N;\N;\N
"47";"801";"8015";"9";"2";"100";"1.1499999762";"12.220000267";"105.41999817";"54.86000061";\N;\N;\N
"48";"805";"8015";"5";"3";"225";"1.7000000477";"15.699999809";"144";"54.5";"0.3269999921";\N;\N
"49";"805";"8015";"10";"3";"25";"0.1599999964";"3.0899999142";"20.700000763";"2.5399999619";\N;\N;\N
"50";"805";"8015";"20";"3";"11";"0.0500000007";"2.2799999714";"10.199999809";"0.1099999994";\N;\N;\N
"51";"801";"8016";"5";"3";"160";"1.2799999714";"14.760000229";"87.769996643";"44.509998322";\N;\N;\N
"52";"801";"8016";"10";"2";"240";"2.7699999809";"28.159999847";"164.53999329";"123.04000092";\N;\N;\N
"53";"801";"8016";"20";"2";"240";"2.1700000763";"33.490001678";"142.11000061";"152.38000488";\N;\N;\N
"54";"801";"8017";"5";"2";"550";"11.130000114";"50.209999084";"236.67999268";"359.11999512";\N;\N;\N
"55";"801";"8017";"10";"2";"160";"1.3099999428";"21.159999847";"100.41000366";"85.839996338";\N;\N;\N
"56";"801";"8017";"20";"2";"160";"1.3600000143";"26.559999466";"105.62999725";"80.980003357";\N;\N;\N
"57";"805";"8017";"5";"3";"400";"1.4099999666";"28.200000763";"147.8999939";"154.1000061";"0.2800000012";\N;\N
"58";"805";"8017";"11";"3";"16";"0.0399999991";"2.5299999714";"13.300000191";"1.4199999571";\N;\N;\N
"59";"805";"8017";"20";"3";"0";"0";"0";"0";"0";"0";\N;\N
"60";"801";"8018";"10";"3";"630";"1.5099999905";"147.1000061";"473.76000977";"41.86000061";\N;\N;\N
"61";"805";"8018";"5";"3";"110";"0.6700000167";"17.329999924";"88.599998474";"21";"0.0099999998";\N;\N
"62";"805";"8018";"10";"3";"13";"0.0299999993";"3.4500000477";"12.800000191";"0.2399999946";\N;\N;\N
"63";"805";"8018";"20";"2";"0";"0";"0";"0";"0";"0";\N;\N
