"idCamaraSolo";"idCampanha";"idSitio";"dataMedida";"horaMedida";"CH4";"CO2";"N2O";"tempAr";"tempSolo";"vento";"altitude"
"1";"201";"2009";"2006-11-22";"12:45:00";"-0.649999976";"7982";"0.0500000007";\N;\N;\N;\N
"2";"201";"2009";"2006-11-22";"12:58:00";"0.6499999762";"24543";"-1.667999983";\N;\N;\N;\N
"3";"203";"2009";"2007-03-26";"11:34:00";\N;"22914";\N;\N;\N;\N;\N
"4";"205";"2009";"2007-07-23";"09:33:00";"-1.361999989";"13385.599609";"22.120000839";\N;\N;\N;\N
"5";"205";"2009";"2007-07-23";"09:54:00";"-3.372999907";"6816.1401367";\N;\N;\N;\N;\N
"6";"203";"2035";"2007-03-26";"11:52:00";\N;"20348";"-2.069999933";\N;\N;\N;\N
"7";"203";"2035";"2007-03-26";"12:06:00";"-1.539999962";"29071";"-4.747000217";\N;\N;\N;\N
"8";"205";"2052";"2007-07-23";"10:11:00";\N;"928.11401367";\N;\N;\N;\N;\N
"9";"205";"2052";"2007-07-23";"10:26:00";\N;\N;"0.9359999895";\N;\N;\N;\N
"10";"1008";"10069";"2004-07-19";"10:00:00";"1.0299999714";"11488";"-0.033";"20";\N;"0.5";"287"
"11";"1008";"10069";"2004-07-19";"11:00:00";"-0.034000002";"5693";"-0.165999994";"19";\N;"1.5";"287.29998779"
"12";"1011";"10130";"2006-11-30";"15:15:00";"1.4800000191";"505";"-0.144999996";\N;\N;\N;\N
"13";"1011";"10130";"2006-11-30";"15:45:00";\N;"28728";"-0.644999981";\N;\N;\N;\N
"14";"1011";"10131";"2006-12-01";"10:00:00";"0.7099999785";"12171";\N;\N;\N;\N;\N
"15";"1011";"10131";"2006-12-01";"10:23:00";\N;"2750";\N;\N;\N;\N;\N
"16";"1013";"10148";"2007-03-21";"12:05:00";"-7.920000076";"64104.199219";\N;\N;\N;\N;\N
"17";"1013";"10148";"2007-03-21";"15:15:00";"56.228000641";"20244";\N;\N;\N;\N;\N
"18";"1015";"10148";"2007-07-17";"09:15:00";"-1.268000007";"7565.6801758";\N;\N;\N;\N;\N
"19";"1015";"10148";"2007-07-17";"09:30:00";"-9.501000404";"8969.5595703";"-3.927999973";\N;\N;\N;\N
"20";"1013";"10149";"2007-03-21";"12:35:00";\N;"-6427.080078";\N;\N;\N;\N;\N
"21";"1015";"10149";"2007-07-17";"00:03:00";\N;"3806.7299805";\N;\N;\N;\N;\N
"22";"1015";"10149";"2007-07-17";"09:48:00";"-1.601999998";"3645.2800293";\N;\N;\N;\N;\N
"23";"1201";"12095";"2004-11-21";"15:03:00";"3.0699999332";"146687";"0.050999999";"33.5";\N;"1.2999999523";"623.20001221"
"24";"1201";"12096";"2004-11-24";"16:33:00";"-0.550000012";"18113";"1.1369999647";"30";"27";\N;"521"
"25";"1201";"12096";"2004-11-24";"16:51:00";"0.349999994";"18466";"-0.301999986";"30";"27";\N;"521"
"26";"1201";"12097";"2004-11-24";"18:31:00";"6.7399997711";"21993";"0.1369999945";"30";"27";\N;"523.79998779"
"27";"1204";"12098";"2005-03-20";"10:59:00";"-1.25";"83900";"0.2049999982";\N;\N;\N;\N
"28";"1204";"12098";"2005-03-20";"11:17:00";"-0.560000002";"53222";"-0.273999989";\N;\N;\N;\N
"29";"1204";"12099";"2005-03-22";"12:17:00";"-1.440000057";"14673";"0.7839999795";\N;\N;\N;\N
"30";"1204";"12100";"2005-03-22";"18:03:00";"-0.0058";"3196";"0.0610000007";\N;\N;\N;\N
"31";"1204";"12100";"2005-03-22";"18:19:00";"1.2799999714";"36947";"-1.205000043";\N;\N;\N;\N
"32";"1207";"12101";"2005-08-25";"09:50:00";"137.44000244";"1212.9200439";"1.4639199972";\N;\N;\N;\N
"33";"1207";"12101";"2005-08-25";"10:04:00";\N;"1242.9200439";\N;\N;\N;\N;\N
"34";"1207";"12101";"2005-08-25";"10:22:00";\N;"1825.5699463";"-8.267100334";\N;\N;\N;\N
"35";"1207";"12101";"2005-08-25";"10:37:00";\N;"626.89001465";\N;\N;\N;\N;\N
