idcampanha;idreservatorio;idinstituicao;nrocampanha;datainicio;datafim
201;2;4;1;2006-11-20;2006-11-23
202;2;1;1;2006-11-20;2006-11-28
203;2;4;2;2007-03-26;2007-03-29
204;2;1;2;2007-03-26;2007-03-29
205;2;4;3;2007-07-23;2007-07-26
206;2;1;3;2007-07-23;2007-07-26
801;8;4;1;2003-11-17;2003-11-21
802;8;3;1;2003-11-18;2003-11-18
803;8;2;1;2004-03-16;2004-03-18
804;8;1;1;2003-11-18;2003-11-21
805;8;4;2;2004-03-15;2004-03-19
806;8;3;2;2004-03-18;2004-03-18
807;8;1;2;2004-03-15;2004-03-19
808;8;4;3;2004-07-12;2004-07-17
809;8;3;3;2004-07-12;2004-07-14
810;8;1;3;2004-07-12;2004-07-16
1001;10;4;1;2003-11-24;2003-11-27
1002;10;3;1;2003-11-25;2003-11-25
1003;10;2;1;2004-03-22;2004-03-25
1004;10;1;1;2003-11-25;2003-11-26
1005;10;4;2;2004-03-22;2004-03-25
1006;10;3;2;2004-03-24;2004-03-25
1007;10;1;2;2004-03-22;2004-03-24
1008;10;4;3;2004-07-18;2004-07-25
1009;10;3;3;2004-07-19;2004-07-22
1010;10;1;3;2004-07-19;2004-07-21
1011;10;4;4;2006-11-27;2006-12-01
1012;10;1;4;2006-11-27;2006-11-29
1013;10;4;5;2007-03-19;2007-03-22
1014;10;1;5;2007-03-19;2007-03-22
1015;10;4;6;2007-07-16;2007-07-19
1016;10;1;6;2007-07-16;2007-07-18
1201;12;4;1;2004-11-22;2004-11-26
1202;12;3;1;2004-11-20;2004-11-21
1203;12;1;1;2004-11-20;2004-11-23
1204;12;4;2;2005-03-17;2005-03-23
1205;12;3;2;2005-03-18;2005-03-20
1206;12;1;2;2005-03-19;2005-03-22
1207;12;4;3;2005-08-25;2005-08-30
1208;12;3;3;2005-08-25;2005-08-28
1209;12;1;3;2005-08-25;2005-08-28
1301;13;4;1;2004-11-16;2004-11-21
1302;13;3;1;2004-11-16;2004-11-18
1303;13;2;2;2005-03-12;2005-03-19
1304;13;1;1;2004-11-16;2004-11-19
1305;13;4;2;2005-03-14;2005-03-17
1306;13;3;2;2005-03-14;2005-03-17
1307;13;2;3;2005-08-23;2005-08-28
1308;13;1;2;2005-03-05;2005-03-17
1309;13;4;3;2005-08-21;2005-08-24
1310;13;3;3;2005-08-20;2005-08-24
1311;13;1;3;2005-08-21;2005-08-24
1401;14;4;1;2005-11-14;2005-11-16
1402;14;3;1;2005-11-18;2005-11-18
1403;14;1;1;2005-11-14;2005-11-15
1404;14;4;2;2006-03-26;2006-03-28
1405;14;3;2;2006-04-08;2006-04-10
1406;14;1;2;2006-03-28;2006-03-29
1407;14;4;3;2006-08-10;2006-08-13
1408;14;3;3;2006-08-09;2006-08-10
1409;14;1;3;2006-08-09;2006-08-11
1501;15;4;1;2005-11-20;2005-11-27
1502;15;3;1;2005-11-15;2005-11-23
1503;15;1;1;2005-11-19;2005-11-22
1504;15;4;2;2006-04-02;2006-04-08
1505;15;3;2;2006-04-02;2006-04-04
1506;15;1;2;2006-04-03;2006-04-07
1507;15;4;3;2006-07-31;2006-08-07
1508;15;3;3;2006-07-31;2006-08-02
1509;15;1;3;2006-07-31;2006-08-05
1601;16;4;1;2005-11-17;2005-11-21
1602;16;3;1;2005-11-17;2005-11-21
1603;16;1;1;2005-11-14;2005-11-17
1604;16;4;2;2006-03-28;2006-04-01
1605;16;3;2;2006-04-07;2006-04-12
1606;16;1;2;2006-03-29;2006-04-01
1607;16;4;3;2006-08-07;2006-08-10
1608;16;3;3;2006-08-04;2006-08-08
1609;16;1;3;2006-08-06;2006-08-10
