"idCampoPorTabela";"idTabela";"nome";"rotulo";"unidade";"descricao";"principal";"ordem";"tipo"
"1";"1";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"2";"1";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"3";"1";"profundidade";"Profundidade";"cm";"Intervalo de profundidade da fatia de sedimento";"sim";"3";"number"
"4";"1";"batimetria";"Cota";"m";"Nível da água";"sim";"4";"number"
"5";"1";"agua";"Água";"%";"Conteúdo de água no sedimento";"sim";"5";"number"
"6";"1";"materiaOrganica";"Matéria orgânica";"%";"Conteúdo de matéria orgânica no sedimento";"sim";"6";"number"
"7";"2";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"8";"2";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"9";"2";"profundidade";"Profundidade";"m";"Profundidade de coleta";"sim";"3";"number"
"10";"2";"nroDeFunis";"Nro. de funis";\N;\N;"sim";"4";"number"
"11";"2";"volumeColetado";"Volume coletado";"ml";\N;"sim";"5";"number"
"12";"2";"co2";"CO2";"mg/m2/dia";"Dióxido de carbono";"sim";"6";"number"
"13";"2";"o2";"O2";"mg/m2/dia";"Oxigênio";"sim";"7";"number"
"14";"2";"n2";"N2";"mg/m2/dia";"Nitrogênio";"sim";"8";"number"
"15";"2";"ch4";"CH4";"mg/m2/dia";"Metano";"sim";"9";"number"
"16";"2";"n2o";"N2O";"mg/m2/dia";"Óxido nitroso";"sim";"10";"number"
"17";"3";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"18";"3";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"19";"3";"ch4";"CH4";"mg/m2/dia";"Metano";"sim";"3";"number"
"20";"3";"co2";"CO2";"mg/m2/dia";"Dióxido de carbono";"sim";"4";"number"
"21";"3";"n2o";"N2O";"mg/m2/dia";"Óxido nitroso";"sim";"5";"number"
"22";"3";"tempar";"Temp. do ar";"oC";\N;"sim";"6";"number"
"23";"3";"tempsolo";"Temp. do solo";"oC";\N;"sim";"7";"number"
"24";"3";"vento";"Vel. do vento";"m/s";\N;"sim";"8";"number"
"25";"3";"altitude";"Altitude";"m";"Altitude do local da medida";"sim";"9";"number"
"26";"4";"dataMedida";"Data";\N;\N;"nao";"1";"date"
"27";"4";"horaMedida";"Horário";\N;\N;"nao";"2";"timeofday"
"28";"4";"batimetria";"Cota";"m";"Nível da água";"sim";"3";"number"
"29";"4";"altura";"Altura";"cm";"Altura sobre a interface (distância da interface sedimento-água)";"sim";"4";"number"
"30";"4";"replica";"Réplica";\N;\N;"sim";"5";"number"
"31";"4";"ch4";"CH4";"mM";"Concentração de metano na amostra da água sobre a interface (em milimolar)";"sim";"6";"number"
"32";"4";"co2";"CO2";"mM";"Concentração de dióxido de carbono na amostra da água sobre a interface (em milimolar)";"sim";"7";"number"
