"idCarbono";"idCampanha";"idSitio";"dataMedida";"horaMedida";"DC";"DOC";"POC";"TOC";"DIC";"TC"
"1";"203";"2007";"2007-03-27";"16:50:00";\N;"1.5399999619";"0.5099999905";"2.0499999523";"6.6527199745";"8.7027196884"
"2";"205";"2007";"2007-07-24";"17:10:00";\N;"3.8900001049";"0.9599999785";"4.8499999046";"5.9400000572";"10.789999962"
"3";"201";"2017";"2006-11-20";"10:40:00";\N;"2.5599999428";"3.7400000095";"6.3000001907";"2.5599999428";"8.8599996567"
"4";"201";"2018";"2006-11-20";"14:50:00";\N;"3.6199998856";"24.11000061";"27.729999542";"1.6200000048";"29.350000381"
"5";"201";"2019";"2006-11-22";"10:32:00";\N;"5.3499999046";"6.9099998474";"12.260000229";"2.2400000095";"14.5"
"6";"205";"2019";"2007-07-24";"12:00:00";\N;"3.5199999809";"2.5999999046";"6.1199998856";"6.1999998093";"12.319999695"
"7";"201";"2020";"2006-11-22";"11:34:00";\N;"4.3000001907";"0.7699999809";"5.0700001717";"1.7200000286";"6.7899999619"
"8";"203";"2026";"2007-03-27";"14:00:00";\N;"1.6799999475";"1.3799999952";"3.0599999428";"4.6942601204";"7.7542600632"
"9";"205";"2026";"2007-07-23";"11:17:00";\N;"4.0900001526";"2.1700000763";"6.2600002289";"3.7200000286";"9.9799995422"
"10";"203";"2032";"2007-03-28";"16:40:00";\N;"3.3399999142";"0.9900000095";"4.3299999237";"4.6399998665";"8.970000267"
"11";"203";"2033";"2007-03-29";"08:50:00";\N;"0.6700000167";"0.7699999809";"1.4400000572";"6.5722498894";"8.0122499466"
"12";"203";"2039";"2007-03-26";"11:30:00";\N;"1.7200000286";"1.5299999714";"3.25";"4.6542100906";"7.9042100906"
"13";"205";"2049";"2007-07-23";"11:10:00";\N;"4.2699999809";"1.3799999952";"5.6500000954";"5.2600002289";"10.909999847"
"14";"205";"2050";"2007-07-25";"15:00:00";\N;"4.3899998665";"2.2000000477";"6.5900001526";"6.1300001144";"12.720000267"
"15";"205";"2051";"2007-07-24";"14:10:00";\N;"4.3699998856";"1.0900000334";"5.4600000381";"6.6900000572";"12.149999619"
"16";"808";"8063";"2004-07-17";"12:25:00";"29.600000381";"1.4400000572";"0.3899999857";\N;\N;\N
"17";"801";"8081";"2003-11-17";"11:25:00";"6.0300002098";"5.0300002098";"0.4199999869";\N;\N;\N
"18";"805";"8081";"2004-03-15";"15:05:00";"1.9900000095";"0.9499999881";"0.4499999881";\N;\N;\N
"19";"801";"8082";"2003-11-20";\N;"13.5";"8.9600000381";"1.5399999619";\N;\N;\N
"20";"805";"8082";"2004-03-16";"10:30:00";"4.7800002098";"0.6200000048";"2.4600000381";\N;\N;\N
"21";"808";"8082";"2004-07-14";"14:50:00";"11.159999847";"4.4499998093";"0.3899999857";\N;\N;\N
"22";"801";"8083";"2003-11-18";"16:46:00";"24.049999237";"12.239999771";"0.6200000048";\N;\N;\N
"23";"805";"8083";"2004-03-17";"16:55:00";"12.739999771";"10.609999657";"0.4699999988";\N;\N;\N
"24";"808";"8083";"2004-07-14";"18:25:00";"17.569999695";"6.4800000191";"0.3899999857";\N;\N;\N
"25";"801";"8084";"2003-11-17";"11:25:00";"23.129999161";"13.590000153";"9.9300003052";\N;\N;\N
"26";"805";"8084";"2004-03-17";"09:20:00";"6.5900001526";"1.0700000525";"0.3899999857";\N;\N;\N
"27";"801";"8085";"2003-11-20";"17:36:00";"17.700000763";"9.6899995804";"0.5099999905";\N;\N;\N
"28";"805";"8085";"2004-03-19";"12:10:00";"7.3299999237";"1.3099999428";"1.5399999619";\N;\N;\N
"29";"801";"8086";"2003-11-21";"09:33:00";"18.649999619";"13.819999695";"1.6299999952";\N;\N;\N
"30";"805";"8086";"2004-03-19";"14:50:00";"7.4200000763";"2.7100000381";"8.6400003433";\N;\N;\N
"31";"801";"8087";"2003-11-19";\N;"17.899999619";"12.640000343";"1.2699999809";\N;\N;\N
"32";"805";"8087";"2004-03-16";"15:00:00";"5.4499998093";"0.5600000024";"3.8299999237";\N;\N;\N
"33";"808";"8087";"2004-07-14";"12:56:00";"12.369999886";"3.2999999523";"0.3899999857";\N;\N;\N
"34";"808";"8088";"2004-07-16";"10:00:00";"17.979999542";"2.1600000858";"0.3899999857";\N;\N;\N
"35";"805";"8089";"2004-03-17";"11:35:00";"14.210000038";"2";"0.3899999857";\N;\N;\N
"36";"808";"8089";"2004-07-13";"13:40:00";"16.319999695";"4.9200000763";"0.3899999857";\N;\N;\N
"37";"805";"8090";"2004-03-17";"12:05:00";"1.9600000381";"0.4499999881";"0.3899999857";\N;\N;\N
"38";"805";"8091";"2004-03-17";"13:05:00";"13.770000458";"3.0899999142";"0.3899999857";\N;\N;\N
"39";"805";"8092";"2004-03-19";"09:20:00";"9.6099996567";"0.9599999785";"0.5699999928";\N;\N;\N
"40";"805";"8093";"2004-03-19";"10:45:00";"10.069999695";"0.6800000072";"0.4900000095";\N;\N;\N
"41";"805";"8094";"2004-03-19";"11:20:00";"10.649999619";"0.5099999905";"0.6700000167";\N;\N;\N
"42";"805";"8095";"2004-03-15";"17:00:00";"10.06000042";"0.4199999869";"0.4099999964";\N;\N;\N
"43";"808";"8096";"2004-07-13";"10:34:00";"13.279999733";"3.6500000954";"0.3899999857";\N;\N;\N
"44";"808";"8097";"2004-07-13";"10:59:00";"6.9099998474";"5.3600001335";"0.3899999857";\N;\N;\N
