"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"1";"202";"2053";"2006-11-20";"10:00:00";"0.5";"10";\N;"0.0025976701";"0.1215210035"
"2";"202";"2053";"2006-11-20";"10:00:00";"0.5";"5";\N;"0.0014547";"0.0765219033"
"3";"202";"2053";"2006-11-20";"10:00:00";"0.5";"0.5";\N;"0.00344006";"0.1110460013"
"4";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"10";\N;"0";"0.1776880026"
"5";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"5";\N;"0.0126572996";"0.1625950038"
"6";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"0.5";\N;"0.0170479007";"0.2160840034"
"7";"202";"2055";"2006-11-20";"15:40:00";"11";"10";\N;"0";"0.0073909098"
"8";"202";"2055";"2006-11-20";"15:40:00";"11";"5";\N;"0.0056826598";"0.0120219998"
"9";"202";"2055";"2006-11-20";"15:40:00";"11";"0.5";\N;"0.0089291995";"0.0229781996"
"10";"202";"2056";"2006-11-20";"16:05:00";"26.5";"10";\N;"0.00104956";"0.1324419975"
"11";"202";"2056";"2006-11-20";"16:05:00";"26.5";"5";\N;"0";"0.1364610046"
"12";"202";"2056";"2006-11-20";"16:05:00";"26.5";"0.5";\N;"0.0048923199";"0.0874705985"
"13";"202";"2057";"2006-11-20";"16:27:00";"36";"10";\N;"0.00570148";"0.0510835014"
"14";"202";"2057";"2006-11-20";"16:27:00";"36";"5";\N;"0.0168223996";"0.1695200056"
"15";"202";"2057";"2006-11-20";"16:27:00";"36";"0.5";\N;"0.0190281998";"0.2818619907"
"16";"202";"2058";"2006-11-20";"16:54:00";"26";"10";\N;"0";"0.034684699"
"17";"202";"2058";"2006-11-20";"16:54:00";"26";"5";\N;"0";"0.1394799948"
"18";"202";"2058";"2006-11-20";"16:54:00";"26";"0.5";\N;"0.0044735698";"0.1509110034"
"19";"202";"2059";"2006-11-20";"15:04:00";"7.3000001907";"10";\N;"1.9514401e-4";"0.0094720097"
"20";"202";"2059";"2006-11-20";"15:04:00";"7.3000001907";"0.5";\N;"0.00127625";"0.0125537002"
"21";"202";"2060";"2006-11-22";"10:34:00";"27.399999619";"10";\N;"0.0810170025";"0.0932547003"
"22";"202";"2060";"2006-11-22";"10:34:00";"27.399999619";"5";\N;"0.0697487965";"0.174755007"
"23";"202";"2060";"2006-11-22";"10:34:00";"27.399999619";"0.5";\N;"0.1773899943";"0.1973160058"
"24";"202";"2061";"2006-11-22";"10:00:00";"0.6000000238";"10";\N;"0.00114451";"0.1321859956"
"25";"202";"2061";"2006-11-22";"10:00:00";"0.6000000238";"5";\N;"3.6563401e-4";"0.0881125033"
"26";"202";"2061";"2006-11-22";"10:00:00";"0.6000000238";"0.5";\N;"0.0064535402";"0.1178869978"
"27";"202";"2062";"2006-11-21";"11:44:00";"3.4000000954";"10";\N;"0.0153008001";"0.1298729926"
"28";"202";"2062";"2006-11-21";"11:44:00";"3.4000000954";"5";\N;"0.0021413499";"0.1154789999"
"29";"202";"2062";"2006-11-21";"11:44:00";"3.4000000954";"0.5";\N;"0.0133351004";"0.1569859982"
"30";"202";"2063";"2006-11-21";"10:55:00";"6.5999999046";"10";\N;"0.0040832199";"0.0284228995"
"31";"202";"2063";"2006-11-21";"10:55:00";"6.5999999046";"5";\N;"0.00278939";"0.0391435996"
"32";"202";"2063";"2006-11-21";"10:55:00";"6.5999999046";"0.5";\N;"0.0060500698";"0.1076140031"
"33";"202";"2064";"2006-11-21";"09:18:00";"21.600000381";"10";\N;"0.0416833013";"0.1943230033"
"34";"202";"2064";"2006-11-21";"09:18:00";"21.600000381";"5";\N;"0.0357199013";"0.2249100059"
"35";"202";"2064";"2006-11-21";"09:18:00";"21.600000381";"0.5";\N;"0.0337826014";"0.3400430083"
"36";"202";"2065";"2006-11-21";"10:24:00";"1.2000000477";"10";\N;"0.0075177699";"0.1809010059"
"37";"202";"2065";"2006-11-21";"10:24:00";"1.2000000477";"5";\N;"0.0102778003";"0.1759970039"
"38";"202";"2065";"2006-11-21";"10:24:00";"1.2000000477";"0.5";\N;"0.0119508998";"0.1472830027"
