"idConcentracaoGasSedimento";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"profundidadeDoSedimento";"replica";"CH4";"CO2"
"1";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-0.5";\N;"0.1958000064";"3.316920042"
"2";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-1.5";\N;"0.8499500155";"1.9324400425"
"3";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-2.5";\N;"0.3343609869";"2.2186501026"
"4";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-3.5";\N;"0.4074989855";"2.5398499966"
"5";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-0.5";\N;"0.2852889895";"2.8853299618"
"6";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-1.5";\N;"1.4505499601";"3.2883899212"
"7";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-2.5";\N;"2.6356799603";"5.3001699448"
"8";"202";"2053";"2006-11-20";"10:00:00";"0.5";"-3.5";\N;"1.89775002";"4.3946499825"
"9";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-0.25";"2";"0.7943609953";"0.990719974"
"10";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-0.75";"2";"1.7300699949";"1.0824700594"
"11";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-1.25";"2";"2.9718799591";"2.0914800167"
"12";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-1.75";"2";"3.7425999641";"2.4704399109"
"13";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-2.25";"2";"4.1220698357";"3.0434401035"
"14";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-2.75";"2";"3.7336199284";"5.5545701981"
"15";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-3.25";"2";"4.5743699074";"3.6860799789"
"16";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-3.75";"2";"7.6577000618";"5.2310800552"
"17";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-0.25";"3";"0.7390999794";"0.7106900215"
"18";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-0.75";"3";"2.0289700031";"1.0511200428"
"19";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-1.25";"3";"3.0238900185";"1.3332799673"
"20";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-1.75";"3";"4.5415802002";"2.3103399277"
"21";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-2.25";"3";"5.7506799698";"4.5620498657"
"22";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-2.75";"3";"7.4067602158";"4.7629599571"
"23";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-3.25";"3";"6.9161000252";"2.6478500366"
"24";"202";"2054";"2006-11-22";"09:04:00";"39.599998474";"-3.75";"3";"8.1520595551";"14.090800285"
"25";"202";"2055";"2006-11-20";"15:40:00";"11";"-0.5";"2";"0.0834645033";"1.6070599556"
"26";"202";"2055";"2006-11-20";"15:40:00";"11";"-1.5";"2";"0.4602000117";"1.9512799978"
"27";"202";"2055";"2006-11-20";"15:40:00";"11";"-2.5";"2";"0.6068509817";"2.164429903"
