"idDadosPrecipitacao";"idReservatorio";"dataMedida";"precipitacao"
"1";"8";"2002-01-01";"1"
"2";"8";"2002-01-02";"18.299999237"
"3";"8";"2002-01-03";"19"
"4";"8";"2002-01-04";"0"
"5";"8";"2002-01-05";"9.8000001907"
"6";"8";"2002-01-06";"46"
"7";"8";"2002-01-07";"21.799999237"
"8";"8";"2002-01-08";"68"
"9";"8";"2002-01-09";"4.1999998093"
"10";"8";"2002-01-10";"6.6999998093"
"11";"8";"2002-01-11";"38.599998474"
"12";"8";"2002-01-12";"1"
"13";"8";"2002-01-13";"1"
"14";"8";"2002-01-14";"9.3999996185"
"15";"8";"2002-01-15";"0"
"16";"8";"2002-01-16";"6.5"
"17";"8";"2002-01-17";"6.5"
"18";"8";"2002-01-18";"7.4000000954"
"19";"8";"2002-01-19";"26.200000763"
"20";"8";"2002-01-20";"7.5999999046"
"21";"8";"2002-01-21";"0"
"22";"8";"2002-01-22";"25.200000763"
"23";"8";"2002-01-23";"22"
"24";"8";"2002-01-24";"0"
"25";"8";"2002-01-25";"0"
"26";"8";"2002-01-26";"0"
"27";"8";"2002-01-27";"3"
"28";"8";"2002-01-28";"35.599998474"
"29";"8";"2002-01-29";"0"
"30";"8";"2002-01-30";"0"
"31";"8";"2002-01-31";"0"
"32";"8";"2002-02-01";"0"
"33";"8";"2002-02-02";"0"
"34";"8";"2002-02-03";"0"
"35";"8";"2002-02-04";"21.399999619"
"36";"8";"2002-02-05";"8.3999996185"
"37";"8";"2002-02-06";"0"
"38";"8";"2002-02-07";"2.9000000954"
"39";"8";"2002-02-08";"0"
"40";"8";"2002-02-09";"20.399999619"
"41";"8";"2002-02-10";"8.6000003815"
"42";"8";"2002-02-11";"17.399999619"
"43";"8";"2002-02-12";"8.8000001907"
"44";"8";"2002-02-13";"0"
"45";"8";"2002-02-14";"0"
"46";"8";"2002-02-15";"0"
"47";"8";"2002-02-16";"0"
"48";"8";"2002-02-17";"8.5"
"49";"8";"2002-02-18";"0"
"50";"8";"2002-02-19";"6.8000001907"
"51";"8";"2002-02-20";"0"
"52";"8";"2002-02-21";"0"
