"idDadosRepresa";"idReservatorio";"dataMedida";"nivelReservatorio";"volUtilReservatorio";"porVolUtilReservatorio";"geracao";"vazaoAfluente";"vazaoDefluente";"produtividade";"vazaoTurbinada";"vazaoVertida";"vazaoTurbinadaVazio"
"1";"8";"2003-10-01";"433.5799865722656";\N;\N;\N;"31";"663";\N;"663";"0";\N
"2";"8";"2003-10-02";"433.510009765625";\N;\N;\N;"36";"668";\N;"668";"0";\N
"3";"8";"2003-10-03";"433.4400024414062";\N;\N;\N;"34";"666";\N;"666";"0";\N
"4";"8";"2003-10-04";"433.3699951171875";\N;\N;\N;"29";"661";\N;"661";"0";\N
"5";"8";"2003-10-05";"433.2999877929688";\N;\N;\N;"28";"660";\N;"660";"0";\N
"6";"8";"2003-10-06";"433.2300109863281";\N;\N;\N;"29";"661";\N;"661";"0";\N
"7";"8";"2003-10-07";"433.1799926757812";\N;\N;\N;"232";"683";\N;"683";"0";\N
"8";"8";"2003-10-08";"433.1099853515625";\N;\N;\N;"234";"686";\N;"686";"0";\N
"9";"8";"2003-10-09";"433.0400085449219";\N;\N;\N;"258";"709";\N;"709";"0";\N
"10";"8";"2003-10-10";"432.989990234375";\N;\N;\N;"409";"680";\N;"680";"0";\N
"11";"8";"2003-10-11";"432.8999938964844";\N;\N;\N;"287";"739";\N;"739";"0";\N
"12";"8";"2003-10-12";"432.8500061035156";\N;\N;\N;"408";"859";\N;"859";"0";\N
"13";"8";"2003-10-13";"432.7699890136719";\N;\N;\N;"283";"1005";\N;"1005";"0";\N
"14";"8";"2003-10-14";"432.6600036621094";\N;\N;\N;"33";"1027";\N;"1027";"0";\N
"15";"8";"2003-10-15";"432.5499877929688";\N;\N;\N;"34";"1027";\N;"1027";"0";\N
"16";"8";"2003-10-16";"432.4500122070312";\N;\N;\N;"124";"1026";\N;"1026";"0";\N
"17";"8";"2003-10-17";"432.3399963378906";\N;\N;\N;"34";"1027";\N;"1027";"0";\N
"18";"8";"2003-10-18";"432.25";\N;\N;\N;"216";"1028";\N;"1028";"0";\N
"19";"8";"2003-10-19";"432.1499938964844";\N;\N;\N;"87";"1029";\N;"1029";"0";\N
"20";"8";"2003-10-20";"432.0400085449219";\N;\N;\N;"38";"1031";\N;"1031";"0";\N
"21";"8";"2003-10-21";"431.9299926757812";\N;\N;\N;"39";"1032";\N;"1032";"0";\N
"22";"8";"2003-10-22";"431.8299865722656";\N;\N;\N;"26";"928";\N;"928";"0";\N
"23";"8";"2003-10-23";"431.7200012207031";\N;\N;\N;"52";"1045";\N;"1045";"0";\N
"24";"8";"2003-10-24";"431.6499938964844";\N;\N;\N;"412";"1044";\N;"1044";"0";\N
"25";"8";"2003-10-25";"431.5400085449219";\N;\N;\N;"45";"1038";\N;"1038";"0";\N
"26";"8";"2003-10-26";"431.4400024414062";\N;\N;\N;"61";"963";\N;"963";"0";\N
"27";"8";"2003-10-27";"431.3299865722656";\N;\N;\N;"50";"1043";\N;"1043";"0";\N
"28";"8";"2003-10-28";"431.239990234375";\N;\N;\N;"231";"1044";\N;"1044";"0";\N
"29";"8";"2003-10-29";"431.1300048828125";\N;\N;\N;"50";"1043";\N;"1043";"0";\N
"30";"8";"2003-10-30";"431.0199890136719";\N;\N;\N;"52";"1045";\N;"1045";"0";\N
"31";"8";"2003-10-31";"430.9400024414062";\N;\N;\N;"326";"1048";\N;"1048";"0";\N
"32";"8";"2003-11-01";"430.8699951171875";\N;\N;\N;"59";"691";\N;"691";"0";\N
"33";"8";"2003-11-02";"430.8399963378906";\N;\N;\N;"413";"684";\N;"684";"0";\N
"34";"8";"2003-11-03";"430.7699890136719";\N;\N;\N;"122";"754";\N;"754";"0";\N
"35";"8";"2003-11-04";"430.6799926757812";\N;\N;\N;"229";"1041";\N;"1041";"0";\N
"36";"8";"2003-11-05";"430.6099853515625";\N;\N;\N;"447";"1079";\N;"1079";"0";\N
"37";"8";"2003-11-06";"430.510009765625";\N;\N;\N;"145";"1048";\N;"1048";"0";\N
"38";"8";"2003-11-07";"430.4400024414062";\N;\N;\N;"299";"931";\N;"931";"0";\N
"39";"8";"2003-11-08";"430.3399963378906";\N;\N;\N;"112";"1015";\N;"1015";"0";\N
"40";"8";"2003-11-09";"430.25";\N;\N;\N;"203";"1015";\N;"1015";"0";\N
"41";"8";"2003-11-10";"430.1400146484375";\N;\N;\N;"24";"1017";\N;"1017";"0";\N
"42";"8";"2003-11-11";"430.0400085449219";\N;\N;\N;"116";"1019";\N;"1019";"0";\N
"43";"8";"2003-11-12";"429.9299926757812";\N;\N;\N;"63";"959";\N;"959";"0";\N
"44";"8";"2003-11-13";"429.8500061035156";\N;\N;\N;"408";"1019";\N;"1019";"0";\N
"45";"8";"2003-11-14";"429.739990234375";\N;\N;\N;"182";"1022";\N;"1022";"0";\N
"46";"8";"2003-11-15";"429.6600036621094";\N;\N;\N;"269";"880";\N;"880";"0";\N
"47";"8";"2003-11-16";"429.5899963378906";\N;\N;\N;"455";"990";\N;"990";"0";\N
"48";"8";"2003-11-17";"429.489990234375";\N;\N;\N;"247";"1011";\N;"1011";"0";\N
"49";"8";"2003-11-18";"429.4299926757812";\N;\N;\N;"298";"756";\N;"756";"0";\N
"50";"8";"2003-11-19";"429.3699951171875";\N;\N;\N;"212";"670";\N;"670";"0";\N
"51";"8";"2003-11-20";"429.3599853515625";\N;\N;\N;"594";"670";\N;"670";"0";\N
"52";"8";"2003-11-21";"429.3200073242188";\N;\N;\N;"365";"671";\N;"671";"0";\N
"53";"8";"2003-11-22";"429.2799987792969";\N;\N;\N;"366";"672";\N;"672";"0";\N
"54";"8";"2003-11-23";"429.2300109863281";\N;\N;\N;"292";"674";\N;"674";"0";\N
"55";"8";"2003-11-24";"429.1700134277344";\N;\N;\N;"215";"674";\N;"674";"0";\N
"56";"8";"2003-11-25";"429.1099853515625";\N;\N;\N;"215";"674";\N;"674";"0";\N
"57";"8";"2003-11-26";"429.0700073242188";\N;\N;\N;"370";"676";\N;"676";"0";\N
"58";"8";"2003-11-27";"429.010009765625";\N;\N;\N;"217";"675";\N;"675";"0";\N
"59";"8";"2003-11-28";"428.9500122070312";\N;\N;\N;"216";"675";\N;"675";"0";\N
"60";"8";"2003-11-29";"428.9100036621094";\N;\N;\N;"371";"677";\N;"677";"0";\N
"61";"8";"2003-11-30";"428.8800048828125";\N;\N;\N;"418";"647";\N;"647";"0";\N
"62";"8";"2003-12-01";"428.8599853515625";\N;\N;\N;"590";"743";\N;"743";"0";\N
"63";"8";"2003-12-02";"428.7900085449219";\N;\N;\N;"436";"970";\N;"970";"0";\N
"64";"8";"2003-12-03";"428.7200012207031";\N;\N;\N;"497";"1032";\N;"1032";"0";\N
"65";"8";"2003-12-04";"428.6300048828125";\N;\N;\N;"292";"979";\N;"979";"0";\N
"66";"8";"2003-12-05";"428.5499877929688";\N;\N;\N;"404";"1015";\N;"1015";"0";\N
"67";"8";"2003-12-06";"428.489990234375";\N;\N;\N;"559";"1018";\N;"1018";"0";\N
"68";"8";"2003-12-07";"428.3999938964844";\N;\N;\N;"290";"978";\N;"978";"0";\N
"69";"8";"2003-12-08";"428.3699951171875";\N;\N;\N;"579";"808";\N;"808";"0";\N
"70";"8";"2003-12-09";"428.3599853515625";\N;\N;\N;"710";"786";\N;"786";"0";\N
"71";"8";"2003-12-10";"428.2999877929688";\N;\N;\N;"559";"1017";\N;"1017";"0";\N
"72";"8";"2003-12-11";"428.25";\N;\N;\N;"392";"774";\N;"774";"0";\N
"73";"8";"2003-12-12";"428.2000122070312";\N;\N;\N;"297";"679";\N;"679";"0";\N
"74";"8";"2003-12-13";"428.1499938964844";\N;\N;\N;"379";"761";\N;"761";"0";\N
"75";"8";"2003-12-14";"428.0499877929688";\N;\N;\N;"258";"1022";\N;"1022";"0";\N
"76";"8";"2003-12-15";"427.9800109863281";\N;\N;\N;"491";"1025";\N;"1025";"0";\N
"77";"8";"2003-12-16";"427.8500061035156";\N;\N;\N;"34";"1027";\N;"1027";"0";\N
"78";"8";"2003-12-17";"427.7699890136719";\N;\N;\N;"72";"683";\N;"683";"0";\N
"79";"8";"2003-12-18";"427.6900024414062";\N;\N;\N;"56";"667";\N;"667";"0";\N
"80";"8";"2003-12-19";"427.6099853515625";\N;\N;\N;"53";"664";\N;"664";"0";\N
"81";"8";"2003-12-20";"427.5499877929688";\N;\N;\N;"253";"711";\N;"711";"0";\N
"82";"8";"2003-12-21";"427.4800109863281";\N;\N;\N;"142";"676";\N;"676";"0";\N
"83";"8";"2003-12-22";"427.4200134277344";\N;\N;\N;"217";"675";\N;"675";"0";\N
"84";"8";"2003-12-23";"427.3500061035156";\N;\N;\N;"198";"732";\N;"732";"0";\N
"85";"8";"2003-12-24";"427.25";\N;\N;\N;"216";"980";\N;"980";"0";\N
"86";"8";"2003-12-25";"427.2099914550781";\N;\N;\N;"414";"720";\N;"720";"0";\N
"87";"8";"2003-12-26";"427.1099853515625";\N;\N;\N;"124";"888";\N;"888";"0";\N
"88";"8";"2003-12-27";\N;\N;\N;\N;\N;"804";\N;"804";"0";\N
"89";"8";"2003-12-28";"427.010009765625";\N;\N;\N;"180";"639";\N;"639";"0";\N
"90";"8";"2003-12-29";"426.9500122070312";\N;\N;\N;"491";"949";\N;"949";"0";\N
"91";"8";"2003-12-30";"426.8500061035156";\N;\N;\N;"259";"1023";\N;"1023";"0";\N
"92";"8";"2003-12-31";"426.7699890136719";\N;\N;\N;"356";"967";\N;"967";"0";\N
"93";"8";"2004-01-01";"426.7200012207031";\N;\N;\N;"201";"583";\N;"583";"0";\N
"94";"8";"2004-01-02";"426.739990234375";\N;\N;\N;"733";"580";\N;"580";"0";\N
"95";"8";"2004-01-03";"426.739990234375";\N;\N;\N;"587";"587";\N;"587";"0";\N
"96";"8";"2004-01-04";"426.7099914550781";\N;\N;\N;"398";"627";\N;"627";"0";\N
"97";"8";"2004-01-05";"426.6700134277344";\N;\N;\N;"484";"790";\N;"790";"0";\N
"98";"8";"2004-01-06";"426.5700073242188";\N;\N;\N;"254";"1018";\N;"1018";"0";\N
"99";"8";"2004-01-07";"426.489990234375";\N;\N;\N;"388";"999";\N;"999";"0";\N
"100";"8";"2004-01-08";"426.4700012207031";\N;\N;\N;"442";"595";\N;"595";"0";\N
"101";"8";"2004-01-09";"426.4599914550781";\N;\N;\N;"516";"592";\N;"592";"0";\N
"102";"8";"2004-01-10";"426.4599914550781";\N;\N;\N;"591";"591";\N;"591";"0";\N
"103";"8";"2004-01-11";"426.4700012207031";\N;\N;\N;"669";"592";\N;"592";"0";\N
"104";"8";"2004-01-12";"426.5299987792969";\N;\N;\N;"1054";"596";\N;"596";"0";\N
"105";"8";"2004-01-13";"426.6000061035156";\N;\N;\N;"1129";"595";\N;"595";"0";\N
"106";"8";"2004-01-14";"426.739990234375";\N;\N;\N;"1664";"594";\N;"594";"0";\N
"107";"8";"2004-01-15";"426.8099975585938";\N;\N;\N;"1129";"595";\N;"595";"0";\N
"108";"8";"2004-01-16";"426.9100036621094";\N;\N;\N;"1357";"593";\N;"593";"0";\N
"109";"8";"2004-01-17";"427.0400085449219";\N;\N;\N;"1584";"591";\N;"591";"0";\N
"110";"8";"2004-01-18";"427.1300048828125";\N;\N;\N;"1277";"590";\N;"590";"0";\N
