"idDuplaDessorcaoAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"CO2";"O2";"N2";"CH4";"N2O"
"1";"201";"2013";"2006-11-21";"10:15:00";"0";"57";\N;\N;"0.0469999984";"0.0041"
"2";"201";"2013";"2006-11-21";"10:18:00";"0.5";"67";\N;\N;"0.0648000017";"0.0038999999"
"3";"201";"2013";"2006-11-21";"10:21:00";"1";"101";\N;\N;"0.1534000039";"0.0038999999"
"4";"201";"2013";"2006-11-21";"10:24:00";"2";"87";\N;\N;"0.0777999982";"0.0052"
"5";"201";"2013";"2006-11-21";"10:27:00";"3";"40";\N;\N;"0.0643000007";"0.0024000001"
"6";"201";"2013";"2006-11-21";"10:30:00";"4";"54";\N;\N;"0.0601000004";"0.0044999998"
"7";"201";"2013";"2006-11-21";"10:33:00";"5";"72";\N;\N;"0.0719000027";"0.0027000001"
"8";"201";"2013";"2006-11-21";"10:36:00";"6";"16";\N;\N;"0.0846000016";"0.0331999995"
"9";"201";"2013";"2006-11-21";"10:40:00";"7";"95";\N;\N;"0.0649999976";"0.0092000002"
"10";"201";"2014";"2006-11-21";"15:00:00";"0";"2";\N;\N;"0.0665000007";"0.0100999996"
"11";"201";"2014";"2006-11-21";"15:01:00";"1";"2";\N;\N;"0.0643000007";"0.0074"
"12";"201";"2014";"2006-11-21";"15:03:00";"2";"1";\N;\N;"0.0680999979";"0.0071"
"13";"201";"2014";"2006-11-21";"15:05:00";"3";"1";\N;\N;"0.0584999993";"0.0057000001"
"14";"201";"2014";"2006-11-21";"15:07:00";"4";"4";\N;\N;"0.064000003";"0.0046999999"
"15";"201";"2014";"2006-11-21";"15:09:00";"5";"11";\N;\N;"0.0590000004";"0.0066999998"
"16";"201";"2014";"2006-11-21";"15:11:00";"10";"82";\N;\N;"0.0693000033";"0.0088"
"17";"201";"2014";"2006-11-21";"15:13:00";"15";"64";\N;\N;"0.0667999983";"0.0082999999"
"18";"201";"2014";"2006-11-21";"15:16:00";"20";"102";\N;\N;"0.068400003";"0.0148"
"19";"201";"2014";"2006-11-21";"15:20:00";"25";"231";\N;\N;"0.0971999988";"0.0102000004"
"20";"201";"2014";"2006-11-21";"15:24:00";"30";"150";\N;\N;"0.0675999969";"0.0219999999"
"21";"201";"2014";"2006-11-21";"15:28:00";"35";"236";\N;\N;"0.1032999977";"0.0155999996"
"22";"201";"2014";"2006-11-21";"15:34:00";"39";"184";\N;\N;"0.0617999993";"0.050999999"
"23";"201";"2015";"2006-11-21";"16:10:00";"0";"3";\N;\N;"0.0571000017";"0.0046000001"
