"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"1";"1303";"13118";"3";"63.699798584";"30.5671997070312";"9";"2005-03-12";"00:00:00"
"2";"1303";"13118";"3";"65.934700012";"25.3808994293213";"9";"2005-03-12";"01:00:00"
"3";"1303";"13118";"3";"69.824897766";"4.57207012176514";"9";"2005-03-12";"02:00:00"
"4";"1303";"13118";"3";"47.096199036";"42.4235992431641";"9";"2005-03-12";"03:00:00"
"5";"1303";"13118";"3";"16.617500305";"30.0139007568359";"9";"2005-03-12";"04:00:00"
"6";"1303";"13118";"3";"3.9870800972";"9.61756038665771";"9";"2005-03-12";"05:00:00"
"7";"1303";"13118";"3";"24.266000748";"38.6260986328125";"9";"2005-03-12";"06:00:00"
"8";"1303";"13118";"3";"52.913299561";"28.2441997528076";"9";"2005-03-12";"07:00:00"
"9";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"08:00:00"
"10";"1303";"13118";"3";"77.147201538";"81.5307006835938";"9";"2005-03-12";"09:00:00"
"11";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"10:00:00"
"12";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"11:00:00"
"13";"1303";"13118";"3";"8.7912998199";"18.6744003295898";"9";"2005-03-12";"12:00:00"
"14";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"13:00:00"
"15";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"14:00:00"
"16";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"15:00:00"
"17";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"16:00:00"
"18";"1303";"13118";"3";"31.238500595";"29.1905994415283";"9";"2005-03-12";"17:00:00"
"19";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"18:00:00"
"20";"1303";"13118";"3";"4.6032099724";"9.84766006469727";"9";"2005-03-12";"19:00:00"
"21";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"20:00:00"
"22";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"21:00:00"
"23";"1303";"13118";"3";"0";"0";"9";"2005-03-12";"22:00:00"
"24";"1303";"13118";"3";"58.427101135";"49.2277984619141";"9";"2005-03-12";"23:00:00"
"25";"1303";"13118";"3";"63.209999084";"23.5335006713867";"9";"2005-03-13";"00:00:00"
"26";"1303";"13118";"3";"15.934599876";"30.0475006103516";"9";"2005-03-13";"01:00:00"
"27";"1303";"13118";"3";"14.130700111";"30.0182991027832";"9";"2005-03-13";"02:00:00"
"28";"1303";"13118";"3";"33.741401672";"37.4785995483398";"9";"2005-03-13";"03:00:00"
"29";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"04:00:00"
"30";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"05:00:00"
"31";"1303";"13118";"3";"75.378601074";"66.5393981933594";"9";"2005-03-13";"06:00:00"
"32";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"07:00:00"
"33";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"08:00:00"
"34";"1303";"13118";"3";"8.0845499039";"18.9883995056152";"9";"2005-03-13";"09:00:00"
"35";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"10:00:00"
"36";"1303";"13118";"3";"9.8801698685";"13.5913000106812";"9";"2005-03-13";"11:00:00"
"37";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"12:00:00"
"38";"1303";"13118";"3";"5.2321300507";"12.0867004394531";"9";"2005-03-13";"13:00:00"
"39";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"14:00:00"
"40";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"15:00:00"
"41";"1303";"13118";"3";"14.628700256";"41.3951988220215";"9";"2005-03-13";"16:00:00"
"42";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"17:00:00"
"43";"1303";"13118";"3";"6.1382899284";"19.4109992980957";"9";"2005-03-13";"18:00:00"
"44";"1303";"13118";"3";"32.917800903";"58.9934997558594";"9";"2005-03-13";"19:00:00"
"45";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"20:00:00"
"46";"1303";"13118";"3";"0";"0";"9";"2005-03-13";"21:00:00"
"47";"1303";"13118";"3";"8.6586103439";"15.3465995788574";"9";"2005-03-13";"22:00:00"
"48";"1303";"13118";"3";"23.960399628";"35.7271003723145";"9";"2005-03-13";"23:00:00"
"49";"1303";"13118";"3";"19.746700287";"27.1149997711182";"9";"2005-03-14";"00:00:00"
"50";"1303";"13118";"3";"6.3673300743";"14.1990995407104";"9";"2005-03-14";"01:00:00"
"51";"1303";"13118";"3";"49.457500458";"32.7784004211426";"9";"2005-03-14";"02:00:00"
"52";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"03:00:00"
"53";"1303";"13118";"3";"0";"0";"9";"2005-03-14";"04:00:00"
"54";"1303";"13118";"3";"72.420600891";"93.0495986938477";"9";"2005-03-14";"05:00:00"
