"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"1";"202";"2053";"0.5";\N;"4.3230800629";"60.820201874";"2006-11-20";"10:00:00"
"2";"202";"2054";"39.599998474";\N;"17.782600403";"16.792299271";"2006-11-22";"09:04:00"
"3";"202";"2055";"11";\N;"0.7846869826";"19.686599731";"2006-11-20";"15:40:00"
"4";"202";"2056";"26.5";\N;"10.298000336";"14.779000282";"2006-11-20";"16:05:00"
"5";"202";"2057";"36";\N;"28.895299911";"20.92250061";"2006-11-20";"16:27:00"
"6";"202";"2058";"26";\N;"5.2805700302";"19.547399521";"2006-11-20";"16:54:00"
"7";"202";"2059";"7.3000001907";\N;"1.7985800505";"18.22879982";"2006-11-20";"15:04:00"
"8";"202";"2060";"27.399999619";\N;"31.084400177";"25.685300827";"2006-11-22";"10:34:00"
"9";"202";"2061";"0.6000000238";\N;"1.4025299549";"44.476799011";"2006-11-22";"10:00:00"
"10";"202";"2062";"3.4000000954";\N;"0.8565199971";"31.718299866";"2006-11-21";"11:44:00"
"11";"202";"2063";"6.5999999046";\N;"2.2496399879";"9.9437904358";"2006-11-21";"10:55:00"
"12";"202";"2064";"21.600000381";\N;"5.4198498726";"15.113900185";"2006-11-21";"09:18:00"
"13";"202";"2065";"1.2000000477";\N;"1.2695499659";"24.618900299";"2006-11-21";"10:24:00"
"14";"204";"2053";"0.5";\N;"1.1898800135";"35.270500183";"2007-03-26";"13:46:00"
"15";"204";"2054";"47";\N;"11.037699699";"20.672000885";"2007-03-28";"08:26:00"
"16";"204";"2067";"55";\N;"20.60090065";"30.23900032";"2007-03-28";"08:57:00"
"17";"204";"2068";"55";\N;"20.984500885";"28.085399628";"2007-03-28";"09:17:00"
"18";"204";"2066";"40";\N;"16.915899277";"27.557300568";"2007-03-28";"09:42:00"
"19";"204";"2055";"34";\N;"19.677900314";"44.543399811";"2007-03-29";"08:30:00"
"20";"204";"2056";"56";\N;"52.308799744";"50.03150177";"2007-03-28";"08:50:00"
"21";"204";"2057";"46";\N;"19.17650032";"23.689399719";"2007-03-28";"09:07:00"
"22";"204";"2058";"39";\N;"18.886400223";"30.004299164";"2007-03-28";"09:28:00"
"23";"204";"2059";"9.5";\N;"0.190775007";"12.487299919";"2007-03-28";"09:47:00"
"24";"204";"2060";"34";\N;"13.739800453";"27.079200745";"2007-03-28";"10:44:00"
"25";"204";"2061";"7.3000001907";\N;"4.2712697983";"34.080200195";"2007-03-28";"10:21:00"
"26";"204";"2062";"11";\N;"5.2742700577";"29.566400528";"2007-03-27";"10:53:00"
