"idFluxoDifusivoInpe";"idCampanha";"idSitio";"profundidade";"CO2";"CO2_desvioPadrao";"CO2_amostras";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"1";"803";"8126";"19.600000381";"147.76400757";"360.303009033203";"8";"1.598279953";"2.14314007759094";"8";"2004-03-16";"08:00:00"
"2";"803";"8126";"19.600000381";"170.33799744";"233.255004882812";"24";"2.8339099884";"2.27590990066528";"24";"2004-03-16";"09:00:00"
"3";"803";"8126";"19.600000381";"332.1579895";"407.72900390625";"4";"3.2832300663";"0.84311497211456";"4";"2004-03-16";"10:00:00"
"4";"803";"8126";"19.600000381";"235.21400452";"315.096984863281";"12";"-0.331070989";"3.4373300075531";"12";"2004-03-16";"12:00:00"
"5";"803";"8126";"19.600000381";"226.53300476";"538.447998046875";"24";"-0.801406026";"7.2943902015686";"24";"2004-03-16";"13:00:00"
"6";"803";"8126";"19.600000381";"111.73699951";"142.583999633789";"8";"3.5466001034";"1.38477003574371";"8";"2004-03-16";"16:00:00"
"7";"803";"8126";"19.600000381";"65.985702515";"109.751998901367";"24";"2.1477499008";"2.53709006309509";"24";"2004-03-16";"17:00:00"
"8";"803";"8126";"19.600000381";"19.751899719";"-69.197402954102";"4";"-0.862504005";"-2.8331000804901";"4";"2004-03-16";"18:00:00"
"9";"803";"8126";"19.600000381";"220.11199951";"287.701995849609";"12";"-1.67185998";"2.40323996543884";"12";"2004-03-17";"08:00:00"
"10";"803";"8126";"19.600000381";"5.059440136";"406.785003662109";"24";"0.2667109966";"2.11400008201599";"24";"2004-03-17";"09:00:00"
"11";"803";"8126";"19.600000381";"16.458799362";"56.2410011291504";"12";"-6.322319984";"7.32951021194458";"12";"2004-03-17";"12:00:00"
"12";"803";"8126";"19.600000381";"76.541000366";"220.363998413086";"24";"-3.428659916";"3.76809000968933";"24";"2004-03-17";"13:00:00"
"13";"803";"8126";"19.600000381";"441.84399414";"499.217010498047";"8";"-5.057859898";"4.22711992263794";"8";"2004-03-17";"16:00:00"
"14";"803";"8126";"19.600000381";"394.17800903";"704.416015625";"24";"-2.846179962";"3.80295991897583";"24";"2004-03-17";"17:00:00"
"15";"803";"8126";"19.600000381";"-128.7929993";"359.785003662109";"4";"-0.573455989";"2.6081600189209";"4";"2004-03-17";"18:00:00"
"16";"803";"8126";"19.600000381";"377.85900879";"499.470001220703";"4";"-7.500760078";"1.95946002006531";"4";"2004-03-17";"20:00:00"
"17";"803";"8126";"19.600000381";"469.61199951";"531.067016601562";"24";"6.3318500519";"7.41703987121582";"24";"2004-03-17";"21:00:00"
"18";"803";"8126";"19.600000381";"-37.78590012";"909.642028808594";"8";"-2.454329967";"3.16582989692688";"8";"2004-03-17";"22:00:00"
"19";"803";"8126";"19.600000381";"473.44198608";"932.476989746094";"12";"-6.434360027";"7.10279989242554";"12";"2004-03-18";"00:00:00"
"20";"803";"8126";"19.600000381";"135.98699951";"498.506988525391";"20";"5.2563700676";"8.98703956604004";"20";"2004-03-18";"01:00:00"
"21";"803";"8126";"19.600000381";"-158.6940002";"695.943969726562";"4";"0.00214996";"1.77226996421814";"4";"2004-03-18";"02:00:00"
"22";"1003";"10098";"1.7999999523";"-132.5859985";"174.666000366211";"48";"7.1218800545";"7.96944999694824";"48";"2004-03-22";"19:00:00"
"23";"1003";"10098";"1.7999999523";"-13.54069996";"287.505004882812";"48";"6.9306402206";"4.97256994247437";"48";"2004-03-22";"20:00:00"
"24";"1003";"10098";"1.7999999523";"-172.5390015";"70.5653991699219";"48";"9.2148303986";"11.1549997329712";"48";"2004-03-22";"21:00:00"
"25";"1003";"10098";"1.7999999523";"-32.75419998";"188.546005249023";"48";"7.722340107";"4.55968999862671";"48";"2004-03-22";"22:00:00"
"26";"1003";"10098";"1.7999999523";"-54.79629898";"88.3156967163086";"5";"6.7007198334";"2.94067001342773";"5";"2004-03-22";"23:00:00"
"27";"1003";"10098";"1.7999999523";"48.068901062";"415.846008300781";"31";"4.5838499069";"2.71133995056152";"31";"2004-03-23";"00:00:00"
"28";"1003";"10098";"1.7999999523";"169.19000244";"215.464996337891";"19";"3.8998599052";"1.64793002605438";"19";"2004-03-23";"01:00:00"
"29";"1003";"10098";"1.7999999523";"270.32800293";"215.744003295898";"48";"3.4640700817";"1.96887004375458";"48";"2004-03-23";"02:00:00"
"30";"1003";"10098";"1.7999999523";"196.11700439";"93.7797012329102";"48";"5.0302100182";"3.9734001159668";"48";"2004-03-23";"03:00:00"
"31";"1003";"10098";"1.7999999523";"210.53199768";"222.016006469727";"48";"6.8640899658";"9.20888996124268";"48";"2004-03-23";"04:00:00"
"32";"1003";"10098";"1.7999999523";"249.05400085";"188.197006225586";"48";"3.1686999798";"2.50628995895386";"48";"2004-03-23";"05:00:00"
"33";"1003";"10098";"1.7999999523";"86.303901672";"110.002998352051";"48";"2.872879982";"1.37521994113922";"48";"2004-03-23";"06:00:00"
"34";"1003";"10098";"1.7999999523";"103.82099915";"128.384994506836";"48";"3.1621100903";"6.42901992797852";"48";"2004-03-23";"07:00:00"
"35";"1003";"10098";"1.7999999523";"103.64099884";"160.875";"48";"1.34739995";"2.77098989486694";"48";"2004-03-23";"08:00:00"
"36";"1003";"10098";"1.7999999523";"30.049999237";"65.5502014160156";"48";"2.1210200787";"2.94791007041931";"48";"2004-03-23";"09:00:00"
"37";"1003";"10098";"1.7999999523";"-4.630360126";"138.75700378418";"48";"0.4710650146";"2.53234004974365";"48";"2004-03-23";"10:00:00"
"38";"1003";"10098";"1.7999999523";"-167.1719971";"54.3190002441406";"48";"3.2863800526";"4.72071981430054";"48";"2004-03-23";"11:00:00"
"39";"1003";"10098";"1.7999999523";"-85.02149963";"96.5994033813477";"48";"3.7500200272";"3.24036002159119";"48";"2004-03-23";"12:00:00"
"40";"1003";"10098";"1.7999999523";"-117.7360001";"109.053001403809";"48";"2.6817998886";"2.89069008827209";"48";"2004-03-23";"13:00:00"
"41";"1003";"10098";"1.7999999523";"-105.4260025";"53.8226013183594";"48";"11.28219986";"14.0621995925903";"48";"2004-03-23";"14:00:00"
"42";"1003";"10098";"1.7999999523";"2.6465198994";"38.9454002380371";"48";"10.787599564";"13.104100227356";"48";"2004-03-23";"15:00:00"
"43";"1003";"10098";"1.7999999523";"168.05200195";"154.699005126953";"48";"8.399479866";"5.24650001525879";"48";"2004-03-23";"16:00:00"
"44";"1003";"10098";"1.7999999523";"115.88999939";"296.707000732422";"48";"17.417800903";"28.7210998535156";"48";"2004-03-23";"17:00:00"
