"idIonsNaAguaIntersticialDoSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"F";"Cl";"NO2";"Br";"NO3";"PO4";"SO4";"Na";"NH4";"K";"Mg";"Ca";"acetato";"dataMedida";"horaMedida"
"1";"202";"2053";"0.5";"0.5";\N;\N;\N;\N;"13.076700211";\N;"3469.3601074";\N;"2021.3900146";\N;\N;\N;"20.201499939";"2006-11-20";"10:00:00"
"2";"202";"2053";"1.5";"0.5";\N;\N;\N;\N;"28.712499619";\N;"1022.7800293";\N;"2049.5800781";\N;\N;\N;"18.390300751";"2006-11-20";"10:00:00"
"3";"202";"2053";"2.5";"0.5";\N;\N;\N;\N;"17.376699448";\N;"779.33898926";\N;"2002.0999756";\N;\N;\N;"15.16779995";"2006-11-20";"10:00:00"
"4";"202";"2053";"3.5";"0.5";\N;\N;\N;\N;"35.148799896";\N;"489.64498901";\N;"1327.0699463";\N;\N;\N;"14.904999733";"2006-11-20";"10:00:00"
"5";"204";"2053";"0.5";"0.5";\N;\N;\N;\N;"150.10899353";\N;"4942.7597656";\N;"1694.2600098";\N;\N;\N;"42.388698578";"2007-03-26";"13:46:00"
"6";"204";"2053";"1.5";"0.5";\N;\N;\N;\N;"26.685100555";\N;"3766.9599609";\N;"1176.4799805";\N;\N;\N;"14.761300087";"2007-03-26";"13:46:00"
"7";"204";"2053";"2.5";"0.5";\N;\N;\N;\N;"27.219200134";\N;"1099.7399902";\N;"1608.2099609";\N;\N;\N;"7.9244599342";"2007-03-26";"13:46:00"
"8";"204";"2053";"3.5";"0.5";\N;\N;\N;\N;"73.717796326";\N;"392.92800903";\N;"2210.5400391";\N;\N;\N;"10.639300346";"2007-03-26";"13:46:00"
"9";"206";"2053";"0.5";"0.5";\N;\N;\N;\N;"2013";\N;"4261.4599609";\N;"1290.7199707";\N;\N;\N;"32.032699585";"2007-07-23";"14:44:00"
"10";"206";"2053";"1.5";"0.5";\N;\N;\N;\N;"43.067501068";\N;"2667.1999512";\N;"1580.0200195";\N;\N;\N;"17.611499786";"2007-07-23";"14:44:00"
"11";"206";"2053";"2.5";"0.5";\N;\N;\N;\N;"112.33000183";\N;"997.19000244";\N;"1321.8800049";\N;\N;\N;"36.866100311";"2007-07-23";"14:44:00"
"12";"206";"2053";"3.5";"0.5";\N;\N;\N;\N;"48.958900452";\N;"533.40698242";\N;"1729.8599854";\N;\N;\N;"6.3378100395";"2007-07-23";"14:44:00"
"13";"202";"2054";"0.5";"39.599998474";\N;\N;\N;\N;"19.643800735";\N;"390.23199463";\N;"2833.6499023";\N;\N;\N;"7.7835798264";"2006-11-22";"09:04:00"
"14";"202";"2054";"1.5";"39.599998474";\N;\N;\N;\N;"50.016201019";\N;"197.71600342";\N;"1976.8800049";\N;\N;\N;"7.5065097809";"2006-11-22";"09:04:00"
"15";"202";"2054";"2.5";"39.599998474";\N;\N;\N;\N;"19.376800537";\N;"158.35299683";\N;"2059.9599609";\N;\N;\N;"9.153960228";"2006-11-22";"09:04:00"
"16";"202";"2054";"3.5";"39.599998474";\N;\N;\N;\N;"35.922698975";\N;"154.14500427";\N;"1721.6999512";\N;\N;\N;"9.0265197754";"2006-11-22";"09:04:00"
"17";"204";"2054";"0.5";"47";\N;\N;\N;\N;"121.47000122";\N;"680.29400635";\N;"2212.7700195";\N;\N;\N;"9.2754602432";"2007-03-28";"08:26:00"
"18";"204";"2054";"1.5";"47";\N;\N;\N;\N;"16.591899872";\N;"382.47399902";\N;"4033.8701172";\N;\N;\N;"5.4406099319";"2007-03-28";"08:26:00"
"19";"204";"2054";"2.5";"47";\N;\N;\N;\N;"9.9211797714";\N;"257.94900513";\N;"4535.3198242";\N;\N;\N;"4.0884699821";"2007-03-28";"08:26:00"
"20";"204";"2054";"3.5";"47";\N;\N;\N;\N;"35.797401428";\N;"238.91200256";\N;"6226.6098633";\N;\N;\N;"6.3088002205";"2007-03-28";"08:26:00"
"21";"206";"2054";"0.5";"42";\N;\N;\N;\N;"43.312801361";\N;"1759.0300293";\N;"2289.1699219";\N;\N;\N;"9.980099678";"2007-07-25";"10:00:00"
"22";"206";"2054";"1.5";"42";\N;\N;\N;\N;"9.2998895645";\N;"264.99301147";\N;"2786.1799316";\N;\N;\N;"8.7059898376";"2007-07-25";"10:00:00"
"23";"206";"2054";"2.5";"42";\N;\N;\N;\N;"8.8965997696";\N;"394.62399292";\N;"3483.4599609";\N;\N;\N;"14.409700394";"2007-07-25";"10:00:00"
"24";"206";"2054";"3.5";"42";\N;\N;\N;\N;"10.962100029";\N;"316.73699951";\N;"4006.4299316";\N;\N;\N;"13.656299591";"2007-07-25";"10:00:00"
"25";"202";"2055";"0.5";"11";\N;\N;\N;\N;"13.746999741";\N;"1047.6800537";\N;"1999.8800049";\N;\N;\N;"10.097800255";"2006-11-20";"15:40:00"
"26";"202";"2055";"1.5";"11";\N;\N;\N;\N;"10.455300331";\N;"819.27301025";\N;"1803.3000488";\N;\N;\N;"8.8182401657";"2006-11-20";"15:40:00"
"27";"202";"2055";"2.5";"11";\N;\N;\N;\N;"27.916799545";\N;"556.49200439";\N;"1510.2900391";\N;\N;\N;"6.2726998329";"2006-11-20";"15:40:00"
"28";"202";"2055";"3.5";"11";\N;\N;\N;\N;"9.9429798126";\N;"392.89300537";\N;"1320.3900146";\N;\N;\N;"9.7100000381";"2006-11-20";"15:40:00"
"29";"204";"2055";"0.5";"34";\N;\N;\N;\N;"151.91900635";\N;"2599.3898926";\N;"2697.1599121";\N;\N;\N;"12.595299721";"2007-03-29";"08:30:00"
"30";"204";"2055";"1.5";"34";\N;\N;\N;\N;"28.309200287";\N;"210.21800232";\N;"4989.2998047";\N;\N;\N;"2.5303299427";"2007-03-29";"08:30:00"
"31";"204";"2055";"2.5";"34";\N;\N;\N;\N;"25.229999542";\N;"268.97000122";\N;"4234.1601562";\N;\N;\N;"1.4646300077";"2007-03-29";"08:30:00"
"32";"204";"2055";"3.5";"34";\N;\N;\N;\N;"21.976400375";\N;"243.69000244";\N;"6568.5800781";\N;\N;\N;"1.0108300447";"2007-03-29";"08:30:00"
"33";"206";"2055";"0.5";"26.5";\N;\N;\N;\N;"76.693496704";\N;"3682.4299316";\N;"95.691299438";\N;\N;\N;"4.9043397903";"2007-07-24";"11:15:00"
"34";"206";"2055";"1.5";"26.5";\N;\N;\N;\N;"11.708800316";\N;"6574.9702148";\N;"73.4375";\N;\N;\N;"2.9321799278";"2007-07-24";"11:15:00"
"35";"206";"2055";"2.5";"26.5";\N;\N;\N;\N;"8.8475503922";\N;"5476.0800781";\N;"180.9980011";\N;\N;\N;"10.512299538";"2007-07-24";"11:15:00"
"36";"206";"2055";"3.5";"26.5";\N;\N;\N;\N;"9.6650400162";\N;"6173.1401367";\N;"109.78500366";\N;\N;\N;"3.8898200989";"2007-07-24";"11:15:00"
