"idMedidaCampoColuna";"idCampanha";"idSitio";"profundidade";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"intensidadeLuminosa";"dataMedida";"horaMedida"
"1";"802";"8119";"0";"3.5";"30";"99";"8.3549995422";"7.8499999046";"1.0950000286";\N;\N;"2003-11-18";\N
"2";"802";"8119";"5.1999998093";\N;"28.5";"99";"4.2600002289";"7.9000000954";"1.2649999857";\N;\N;"2003-11-18";\N
"3";"802";"8119";"10.5";\N;"28.299999237";"99";"2.5950000286";"7.3099999428";"1.0499999523";\N;\N;"2003-11-18";\N
"4";"802";"8119";"35";\N;\N;\N;"0.8000000119";"6.7600002289";"5.4349999428";\N;\N;"2003-11-18";\N
"5";"802";"8119";"60";\N;\N;\N;"0.9350000024";"7.1199998856";"3.1949999332";\N;\N;"2003-11-18";\N
"6";"806";"8119";"0";"4";"29.569999695";\N;"4.8600001335";"7.8499999046";\N;"3.333329916000366";"15.289999961853027";"2004-03-18";\N
"7";"806";"8119";"6";\N;"28.729999542";\N;"5.5999999046";"7.5500001907";\N;"8.666669845581055";\N;"2004-03-18";\N
"8";"806";"8119";"12";\N;"26.979999542";\N;"2.0999999046";"6.8800001144";\N;"11.16670036315918";\N;"2004-03-18";\N
"9";"806";"8119";"47";\N;"24.489999771";\N;"2.0799999237";"7.2300000191";\N;"23.66670036315918";\N;"2004-03-18";\N
"10";"806";"8119";"107";\N;"23.969999313";\N;"0.4199999869";"7.2800002098";\N;"9.833330154418945";\N;"2004-03-18";\N
"11";"809";"8119";"0";"3";"27";"88.4000015259";"7.3899998665";"7.5399999619";"1.7999999523";"0.2976189851760864";"37.02000045776367";"2004-07-12";\N
"12";"809";"8119";"4.5";\N;"26";"88.0999984741";"6.9899997711";"7.1300001144";"2.2000000477";"1.6547600030899048";\N;"2004-07-12";\N
"13";"809";"8119";"9";\N;"26.200000763";"87.1999969482";"6.6199998856";"7.3600001335";"2";"2.916670083999634";\N;"2004-07-12";\N
"14";"809";"8119";"42";\N;"24.700000763";"105.099998474";"2.1800000668";"6.9400000572";"4.0999999046";"15";\N;"2004-07-12";\N
"15";"809";"8119";"93";\N;"24.100000381";"123";"0.5699999928";"7.3000001907";"8.6999998093";"9.833330154418945";\N;"2004-07-12";\N
"16";"1002";"10082";"0";"2";"29.299999237";"43";"6.7100000381";"8.029999733";"1.5";\N;\N;"2003-11-25";\N
"17";"1002";"10082";"0.75";\N;"29.299999237";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"18";"1002";"10082";"1";\N;"29.299999237";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"19";"1002";"10082";"1.25";\N;"29.299999237";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"20";"1002";"10082";"1.5";\N;"29.200000763";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"21";"1002";"10082";"1.75";\N;"29.200000763";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"22";"1002";"10082";"2";\N;"29.200000763";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"23";"1002";"10082";"2.25";\N;"29.200000763";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"24";"1002";"10082";"2.5";\N;"29.100000381";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"25";"1002";"10082";"2.75";\N;"29.100000381";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"26";"1002";"10082";"3";\N;"29";"43";\N;\N;\N;\N;\N;"2003-11-25";\N
"27";"1006";"10082";"0";"4.5";"30.399999619";"28.2000007629";"7.6399998665";"6.5199999809";\N;"5";"45.54999923706055";"2004-03-25";\N
"28";"1006";"10082";"7";\N;\N;"30.1000003815";"7.1100001335";"7";\N;"10.33329963684082";\N;"2004-03-25";\N
"29";"1006";"10082";"14";\N;\N;"42.2999992371";"1.4800000191";"5.9899997711";\N;"8.5";\N;"2004-03-25";\N
"30";"1006";"10082";"20";\N;\N;"63";"1.2300000191";"6.4499998093";\N;"7.5";\N;"2004-03-25";\N
"31";"1006";"10082";"53";\N;\N;"4";"1.1200000048";"6.6300001144";\N;"6.5";\N;"2004-03-25";\N
"32";"1009";"10082";"0";"1.8999999762";"24.799999237";"40";"4.0999999046";"6.7300000191";"2.0999999046";"2.527780055999756";"19.719999313354492";"2004-07-20";\N
"33";"1009";"10082";"5";\N;"24.799999237";"40";"4.3699998856";"6.7699999809";"2.0999999046";"2.0625";\N;"2004-07-20";\N
"34";"1009";"10082";"10";\N;"24.799999237";"39";"4.4400000572";"6.8200001717";"2";"2";\N;"2004-07-20";\N
"35";"1009";"10082";"20";\N;"24.799999237";"40";"4.3200001717";"6.7899999619";"2.2999999523";"3.2261900901794434";\N;"2004-07-20";\N
"36";"1009";"10082";"40";\N;"24.299999237";"87";"1.7000000477";"6.5199999809";"2.9000000954";"5.708330154418945";\N;"2004-07-20";\N
"37";"1202";"12136";"0";"4.0999999046";"27";"294.700012207";"6.3372998238";"7.6199998856";"7.6199998856";"1.2000000476837158";\N;"2004-11-20";\N
"38";"1202";"12136";"6";\N;"26.799999237";"282.200012207";"6.5883998871";"7.6399998665";"7.6399998665";"3.799999952316284";\N;"2004-11-20";\N
