"idMedidaCampoSuperficie";"idCampanha";"idSitio";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"dataMedida";"horaMedida"
"1";"802";"8116";"1.2000000477";"29";"138";"5.8249998093";"7.6500000954";"5.5999999046";\N;"2003-11-18";\N
"2";"806";"8116";\N;\N;"83.4000015259";\N;"7.3099999428";\N;"46.83330154418945";"2004-03-18";\N
"3";"809";"8116";"3.5";"26.600000381";"118";"7.2600002289";"8.1999998093";"1.5399999619";"1.4444400072097778";"2004-07-14";\N
"4";"802";"8117";"2.2000000477";"29.600000381";"96";"6.8150000572";"8.0600004196";"2";\N;"2003-11-18";\N
"5";"806";"8117";"0.150000006";"28";"61.2999992371";"5.7399997711";"7.1599998474";\N;"29.16670036315918";"2004-03-18";\N
"6";"809";"8117";"3.9000000954";"26.200000763";"89.4000015259";"6.7399997711";"7.8000001907";"0.9700000286";"1.576390027999878";"2004-07-14";\N
"7";"802";"8118";"3";"29.600000381";"97";"6.9949998856";"7.9000000954";"1";\N;"2003-11-18";\N
"8";"806";"8118";"2.4500000477";"29.799999237";"109.300003052";"5.0500001907";"7.9200000763";\N;"16.5";"2004-03-18";\N
"9";"809";"8118";"3.5";"26.100000381";"86.4000015259";"6.9899997711";"7.5199999809";"1.5299999714";"1.428570032119751";"2004-07-12";\N
"10";"802";"8119";"3.5";"30";"99";"8.3549995422";"7.8499999046";"1.0950000286";\N;"2003-11-18";\N
"11";"806";"8119";"4";"29.569999695";\N;"4.8600001335";"7.8499999046";\N;"3.333329916000366";"2004-03-18";\N
"12";"809";"8119";"3";"27";"88.4000015259";"7.3899998665";"7.5399999619";"1.7999999523";"0.2976189851760864";"2004-07-12";\N
"13";"802";"8120";\N;"27";\N;"7.0749998093";"7.3099999428";"2.5499999523";\N;"2003-11-18";\N
"14";"806";"8120";"1.2999999523";"27";\N;\N;\N;\N;\N;"2004-03-18";\N
"15";"809";"8120";\N;"26";\N;"5.2100000381";"7.2199997902";"4.4600000381";"3.855560064315796";"2004-07-12";\N
"16";"802";"8121";"4";"29.399999619";"91";"5.9699997902";"7.5900001526";"28.200000763";\N;"2003-11-18";\N
