"idNutrientesSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"N2";"PT";"TC";"dataMedida";"horaMedida"
"1";"202";"2053";"0.5";"0.5";"0.5222989917";"0.2287580073";"6.3600001335";"2006-11-20";"10:00:00"
"2";"202";"2053";"1.5";"0.5";"0.4705399871";"0.1940000057";"8.1599998474";"2006-11-20";"10:00:00"
"3";"202";"2053";"2.5";"0.5";"0.4517180026";"0.1894840002";"4.8299999237";"2006-11-20";"10:00:00"
"4";"202";"2053";"3.5";"0.5";"0.3905479908";"0.1733549982";"4.4600000381";"2006-11-20";"10:00:00"
"5";"204";"2053";"0.5";"0.5";"0.2776190042";"0.1287579983";"24.350000381";"2007-03-26";"13:46:00"
"6";"204";"2053";"1.5";"0.5";"0.3858430088";"0.1281940043";"26.030000687";"2007-03-26";"13:46:00"
"7";"204";"2053";"2.5";"0.5";"0.5364159942";"0.0894839019";"20.479999542";"2007-03-26";"13:46:00"
"8";"204";"2053";"3.5";"0.5";"0.738748014";"0.1285970062";"2.2599999905";"2007-03-26";"13:46:00"
"9";"206";"2053";"0.5";"0.5";"0.2338390052";"0.0953710005";"3.1600000858";"2007-07-23";"14:44:00"
"10";"206";"2053";"1.5";"0.5";"0.2640120089";"0.0378709994";"3.0399999619";"2007-07-23";"14:44:00"
"11";"206";"2053";"2.5";"0.5";"0.3205859959";"0.0861774012";"4.8899998665";"2007-07-23";"14:44:00"
"12";"206";"2053";"3.5";"0.5";"0.346987009";"0.0510968007";"4.3699998856";"2007-07-23";"14:44:00"
"13";"202";"2054";"0.5";"39.599998474";"2.0892000198";"0.7799680233";"21.569999695";"2006-11-22";"09:04:00"
"14";"202";"2054";"1.5";"39.599998474";"1.7315900326";"0.7463390231";"21.799999237";"2006-11-22";"09:04:00"
"15";"202";"2054";"2.5";"39.599998474";"1.6986500025";"0.7276290059";"24.479999542";"2006-11-22";"09:04:00"
"16";"202";"2054";"3.5";"39.599998474";"1.6798299551";"0.7260969877";"24.38999939";"2006-11-22";"09:04:00"
"17";"204";"2054";"0.5";"47";"2.9851999283";"0.8715000153";"28.059999466";"2007-03-28";"08:26:00"
"18";"204";"2054";"1.5";"47";"2.5031199455";"0.8635159731";"25.61000061";"2007-03-28";"08:26:00"
"19";"204";"2054";"2.5";"47";"2.1044700146";"0.6698060036";"25.540000916";"2007-03-28";"08:26:00"
"20";"204";"2054";"3.5";"47";"2.2527999878";"0.8876289725";"22.600000381";"2007-03-28";"08:26:00"
"21";"206";"2054";"0.5";"42";"2.821160078";"0.6819030046";"28.319999695";"2007-07-25";"10:00:00"
"22";"206";"2054";"1.5";"42";"1.5501300097";"0.5366610289";"23.909999847";"2007-07-25";"10:00:00"
"23";"206";"2054";"2.5";"42";"2.391190052";"0.5162580013";"27.370000839";"2007-07-25";"10:00:00"
"24";"206";"2054";"3.5";"42";"1.7009899616";"0.5897259712";"25.340000153";"2007-07-25";"10:00:00"
"25";"202";"2055";"0.5";"11";"0.9834290147";"0.1764999926";"14.550000191";"2006-11-20";"15:40:00"
"26";"202";"2055";"1.5";"11";"0.9646070004";"0.2572259903";"11.409999847";"2006-11-20";"15:40:00"
"27";"202";"2055";"2.5";"11";"1.1151800156";"0.4741609991";"12.159999847";"2006-11-20";"15:40:00"
"28";"202";"2055";"3.5";"11";"0.9834290147";"0.1723060012";"11.119999886";"2006-11-20";"15:40:00"
"29";"204";"2055";"0.5";"34";"2.0592899323";"0.8237580061";"21.540000916";"2007-03-29";"08:30:00"
"30";"204";"2055";"1.5";"34";"1.667050004";"0.7026290298";"17.180000305";"2007-03-29";"08:30:00"
"31";"204";"2055";"2.5";"34";"1.3351500034";"0.6488389969";"15.739999771";"2007-03-29";"08:30:00"
"32";"204";"2055";"3.5";"34";"1.817909956";"0.8069030046";"18.989999771";"2007-03-29";"08:30:00"
"33";"206";"2055";"0.5";"26.5";"1.9197399616";"0.1898870021";"6.0700001717";"2007-07-24";"11:15:00"
"34";"206";"2055";"1.5";"26.5";"0.9014120102";"0.142306";"6.3899998665";"2007-07-24";"11:15:00"
"35";"206";"2055";"2.5";"26.5";"0.8636959791";"0.1438390017";"6.5399999619";"2007-07-24";"11:15:00"
"36";"206";"2055";"3.5";"26.5";"1.7311600447";"0.1345649958";"7.0700001717";"2007-07-24";"11:15:00"
"37";"202";"2056";"0.5";"26.5";"1.0963599682";"0.5502899885";"14.100000381";"2006-11-20";"16:05:00"
"38";"202";"2056";"1.5";"26.5";"0.8516770005";"0.5072259903";"13.970000267";"2006-11-20";"16:05:00"
"39";"202";"2056";"2.5";"26.5";"0.6587560177";"0.2828710079";"15.319999695";"2006-11-20";"16:05:00"
"40";"202";"2056";"3.5";"26.5";"0.668166995";"0.2041610032";"16.13999939";"2006-11-20";"16:05:00"
"41";"204";"2056";"0.5";"56";"3.5878698826";"0.8400480151";"29.270000458";"2007-03-28";"08:50:00"
"42";"204";"2056";"1.5";"56";"3.576100111";"0.7682740092";"26.659999847";"2007-03-28";"08:50:00"
"43";"204";"2056";"2.5";"56";"2.7291300297";"0.7899680138";"26.149999619";"2007-03-28";"08:50:00"
"44";"204";"2056";"3.5";"56";"2.7409000397";"0.777387023";"24.829999924";"2007-03-28";"08:50:00"
"45";"206";"2056";"0.5";"46.5";"3.5905599594";"1.139969945";"31.11000061";"2007-07-24";"10:50:00"
"46";"206";"2056";"1.5";"46.5";"3.6961700916";"1.2319799662";"37.669998169";"2007-07-24";"10:50:00"
