"idTabela";"idInstituicao";"nome";"rotulo";"excecao";"sitio";"campanha"
"1";"1";"tbAguaMateriaOrganicaSedimento";"Água e matéria orgânica no sedimento";\N;"sim";"sim"
"2";"4";"tbBolhas";"Bolhas";\N;"sim";"sim"
"3";"4";"tbCamaraSolo";"Câmara solo";"Sinal negativo (em CH4, CO2 e N2O) indica absorção.";"sim";"sim"
"4";"1";"tbConcentracaoGasAgua";"Concentração de gás na água";\N;"sim";"sim"
"5";"1";"tbConcentracaoGasSedimento";"Concentração de gás no sedimento";\N;"sim";"sim"
"6";"4";"tbCarbono";"DC, DOC, POC, TOC, DIC e TC";"O valor 0.39, para POC, DOC e TC, é um valor simbólico e indica valor não detectável, isto é, valor abaixo de 0.4 mg/L para POC, e abaixo de 0.5 mg/L para DOC e TC.";"sim";"sim"
"7";"1";"tbHoriba";"Dados do Horiba";\N;"sim";"sim"
"8";"4";"tbDifusao";"Difusão";"Sinal negativo (em CH4, CO2 e N2O) indica absorção.";"sim";"sim"
"9";"4";"tbDuplaDessorcaoAgua";"Dupla dessorção da água";\N;"sim";"sim"
"10";"2";"tbFluxoBolhasInpe";"Fluxo de bolhas";\N;"sim";"sim"
"11";"1";"tbFluxoDifusivo";"Fluxo difusivo";"O valor negativo no intervalo indica que o sentido do fluxo é \\\"através da interface\\\" e o valor positivo indica \\\"para a interface\\\".";"sim";"sim"
"12";"2";"tbFluxoDifusivoInpe";"Fluxo difusivo (INPE)";\N;"sim";"sim"
"13";"4";"tbGasesEmBolhas";"Gases em bolhas";\N;"sim";"sim"
"14";"1";"tbIonsNaAguaIntersticialDoSedimento";"Íons na água intersticial do sedimento";\N;"sim";"sim"
"15";"1";"tbNutrientesSedimento";"Nutrientes no sedimento";\N;"sim";"sim"
"16";"4";"tbPFQ";"Parâmetros físicos e químicos";\N;"sim";"sim"
"18";"4";"tbTc";"Carbono Total no sedimento";\N;"sim";"sim"
"19";"1";"tbVariaveisFisicasQuimicasDaAgua";"Variáveis físicas e químicas da água";\N;"sim";"sim"
"20";"3";"tbMedidaCampoSuperficie";"Medidas de campo na superfície";"As medidas foram efetuadas na superfície, porém, nas campanhas de Estreito, Furnas e Mascarenhas de Moraes foram a 0.5 m.";"sim";"sim"
"21";"3";"tbMedidaCampoColuna";"Medidas de campo na coluna d água";\N;"sim";"sim"
"22";"3";"tbAbioticoSuperficie";"Abióticos na superfície";"As medidas foram efetuadas na superfície, porém, nas campanhas de Estreito, Furnas e Mascarenhas de Moraes foram a 0.5 m.";"sim";"sim"
"23";"3";"tbAbioticoColuna";"Abióticos na coluna d água";\N;"sim";"sim"
"24";"3";"tbBioticoSuperficie";"Bióticos na superfície";"As medidas foram efetuadas na superfície, porém, nas campanhas de Estreito, Furnas e Mascarenhas de Moraes foram a 0.5 m.";"sim";"sim"
"25";"3";"tbBioticoColuna";"Bióticos na coluna d água";\N;"sim";"sim"
"26";"3";"tbFluxoCarbono";"Fluxos de carbono";"As medidas foram efetuadas na superfície, porém, nas campanhas de Estreito, Furnas e Mascarenhas de Moraes foram a 0.5 m.";"sim";"sim"
"27";"5";"tbDadosRepresa";"Nível do reservatório";\N;"nao";"nao"
"28";"5";"tbDadosPrecipitacao";"Dados de precipitação";\N;"nao";"nao"
"29";"3";"tbParametrosBiologicosFisicosAgua";"Parâmetros biológicos e físicos da água";\N;"sim";"sim"
