"idtc";"idCampanha";"idSitio";"dataMedida";"profundidade";"tc"
"1";"801";"8031";\N;"0 - 4";"32.340000153"
"2";"801";"8031";\N;"4 - 8";"18.870000839"
"3";"801";"8031";\N;"8 - 12";"42.759998322"
"4";"801";"8031";\N;"0 - 3";"55.119998932"
"5";"801";"8031";\N;"3 - 12";"36.560001373"
"6";"201";"2021";"2006-11-22";"0 - 2";"22.5"
"7";"201";"2021";"2006-11-22";"2 - 4";"23.090000153"
"8";"201";"2021";"2006-11-22";"4 - 6";"22.010000229"
"9";"201";"2021";"2006-11-22";"6 - 8";"21.020000458"
"10";"201";"2021";"2006-11-22";"8 - 10";"21.149999619"
"11";"201";"2021";"2006-11-22";"10 - 12";"20.549999237"
"12";"201";"2021";"2006-11-22";"12 - 14";"18.25"
"13";"201";"2021";"2006-11-22";"14 - 16";"16.579999924"
"14";"201";"2021";"2006-11-22";"16 - 18";"15.600000381"
"15";"201";"2021";"2006-11-22";"18 - 20";"15.520000458"
"16";"201";"2021";"2006-11-22";"20 - 22";"15.029999733"
"17";"201";"2021";"2006-11-22";"22 - 24";"14.020000458"
"18";"201";"2021";"2006-11-22";"24 - 26";"13.670000076"
"19";"201";"2021";"2006-11-22";"26 - 28";"13.770000458"
"20";"201";"2021";"2006-11-22";"28 - 30";"13.359999657"
"21";"201";"2021";"2006-11-22";"30 - 32";"12.869999886"
"22";"201";"2021";"2006-11-22";"32 - 34";"12.779999733"
"23";"201";"2021";"2006-11-22";"34 - 36";"13.279999733"
"24";"203";"2021";"2007-03-29";"0 - 2";"19.829999924"
"25";"203";"2021";"2007-03-29";"2 - 4";"20.440000534"
"26";"203";"2021";"2007-03-29";"4 - 6";"21.219999313"
"27";"203";"2021";"2007-03-29";"6 - 8";"19.590000153"
"28";"203";"2021";"2007-03-29";"8 - 10";"16.649999619"
"29";"203";"2021";"2007-03-29";"10 - 12";"10.199999809"
"30";"203";"2021";"2007-03-29";"12 - 14";"13.779999733"
"31";"203";"2021";"2007-03-29";"14 - 16";"14.699999809"
"32";"203";"2021";"2007-03-29";"16 - 18";"13.539999962"
"33";"203";"2021";"2007-03-29";"18 - 20";"13.449999809"
"34";"203";"2021";"2007-03-29";"20 - 22";"13.010000229"
"35";"203";"2021";"2007-03-29";"22 - 24";"13.739999771"
"36";"203";"2021";"2007-03-29";"24 - 26";"13.180000305"
"37";"203";"2021";"2007-03-29";"26 - 28";"13.029999733"
"38";"203";"2021";"2007-03-29";"28 - 30";"13.18999958"
"39";"205";"2021";"2007-07-25";"0 - 2";"21.200000763"
"40";"205";"2021";"2007-07-25";"2 - 4";"22.299999237"
"41";"205";"2021";"2007-07-25";"4 - 6";"23.700000763"
