"idVariaveisFisicasQuimicasDaAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"secchi";"batimetria";"F";"Cl";"NNO3";"PPO43";"SSO42";"Li";"Na";"NNH4";"K";"Mg";"Ca";"clorofila";"feofitina";"turbidez";"NT";"PT";"TDC"
"1";"202";"2053";"2006-11-20";"10:00:00";"0";\N;"0.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.4059100151";"38.666698456";"6.6630001068"
"2";"204";"2053";"2007-03-26";"13:46:00";"0";\N;"0.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.3148299456";"42.774200439";"6.640999794"
"3";"206";"2053";"2007-07-23";"14:44:00";"0";\N;"0.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.6311200261";"45.419399261";"6.4079999924"
"4";"202";"2054";"2006-11-22";"09:04:00";"0";"0.400000006";"39.599998474";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.5100500584";"47.400001526";"4.7989997864"
"5";"202";"2054";"2006-11-22";"09:04:00";"38";\N;"39.599998474";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1976300478";"59.200000763";"6.5180001259"
"6";"204";"2054";"2007-03-28";"08:26:00";"0";"2.0999999046";"47";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.0518699884";"30.38710022";"7.0380001068"
"7";"204";"2054";"2007-03-28";"08:26:00";"45";\N;"47";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.6837130189";"54.258098602";"6.5819997787"
"8";"206";"2054";"2007-07-25";"10:00:00";"0";"2.5999999046";"42";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.6405000091";"29.09679985";"6.6760001183"
"9";"206";"2054";"2007-07-25";"10:00:00";"41";\N;"42";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.024799943";"48.419399261";"7.493999958"
"10";"202";"2057";"2006-11-20";"16:27:00";"0";"0.400000006";"36";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.5621199608";"74.466697693";"3.5739998817"
"11";"202";"2057";"2006-11-20";"16:27:00";"34";\N;"36";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.4059100151";"40.166698456";"7.8350000381"
"12";"204";"2057";"2007-03-28";"09:07:00";"0";"2.2999999523";"46";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.4207470119";"19.935499191";"7.5770001411"
"13";"204";"2057";"2007-03-28";"09:07:00";"45";\N;"46";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1570500135";"61.741901398";"8.0620002747"
"14";"206";"2057";"2007-07-24";"10:22:00";"0";"2.5999999046";"41.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.9214999676";"11.419400215";"6"
"15";"206";"2057";"2007-07-24";"10:22:00";"41";\N;"41.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.6832000017";"49.38710022";"6.4930000305"
"16";"202";"2060";"2006-11-22";"10:34:00";"0";"0.3000000119";"27.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.4579800367";"81.300003052";"4.1459999084"
"17";"202";"2060";"2006-11-22";"10:34:00";"26.5";\N;"27.399999619";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"1.1976300478";"43.700000763";"6.888999939"
"18";"204";"2060";"2007-03-28";"10:44:00";"0";"1.6000000238";"34";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.6837130189";"16.193500519";"3.7509999275"
"19";"204";"2060";"2007-03-28";"10:44:00";"35";\N;"34";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.736307025";"45.322601318";"7.1420001984"
"20";"206";"2060";"2007-07-25";"11:30:00";"0";"2.2000000477";"30";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.768599987";"21.548400879";"6.5390000343"
"21";"206";"2060";"2007-07-25";"11:30:00";"1.5";\N;"30";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.8967000246";"48.451599121";"6.3319997787"
