"idSensor";"nome";"fabricante";"modelo";"faixa";"precisao"
"1";"Vento";"R. M. Young Company";"Marine Model 05106";"0° a 360° Azimute";"±3°"
"2";"Vento";"R. M. Young Company";"Marine Model 05106";"0 a 100 m/s";"±0.3 m/s (0.6 mph) ou 1% da leitura"
"3";"Termistor tubular";"Yellow Spring";"YSI-030440334RT119ST";"0 a 70 °C";""
"4";"Umidade relativa";"Rotronic";"MP-103A-CG-0200";"0 a 100% rh";"±1.5% rh"
"5";"Temperatura";"Rotronic";"MP-103A-CG-0200";"-40 a +60 ºC";"±0.3 K"
"6";"Barômetro";"Vaisala";"PTB100-A";"800 a 1060 mb";"±0.3 mb (+20 °C)"
"7";"Radiômetro";"Dr. Marden";"-";"200 a 1500 W/m²";"0 a 1 VDc = \"counts\" de 0 a 255"
"8";"Sensor de Clorofila";"Yellow Spring";"YSI 6025";"0 a 400 ug/l";"0.1 ug/l"
"9";"Sensor de turbidez";"Yellow Spring";"YSI 6026";"0 a 1000 NTU";"0.1 NTU"
"10";"Sensor de Oxigênio Dissolvido";"Yellow Spring";"YSI 6562";"0 a 50 mg/l ou 0 a 500% de satur";"0.1% de saturação do ar ou 0.01 mg/l"
"11";"Sensor de pH/Orp";"Yellow Spring";"YSI 6565";"pH de 0 a 14";"0.01"
"12";"Sensor de Nitrato";"Yellow Spring";"YSI 6884";"0 a 200 mg/l";"0.001 mg/l"
"13";"Sensor de Amônia";"Yellow Spring";"YSI 6883";"0 a 200 mg/l";"0.001 mg/l"
"14";"Correntômetro";"Inter Ocean";"S4A";"0 a 360° Azimute";"Resolução: 0.5° Precisão: ±2° com ângulos de inclinação de 5° e ±4° com ângulos de inclinção de 15° e 20°"
"15";"Correntômetro";"Inter Ocean";"S4A";"0 a 350 cm/s";"Resolução: 0.2 cm/s Precisão: 2% da leitura ±1 cm/s"
